"EFF_DATE","REGULATORY","AWY_LOCATION","AWY_ID","POINT_SEQ","FROM_POINT","FROM_PT_TYPE","NAV_NAME","NAV_CITY","ARTCC","ICAO_REGION_CODE","STATE_CODE","COUNTRY_CODE","TO_POINT","MAG_COURSE","OPP_MAG_COURSE","MAG_COURSE_DIST","CHGOVR_PT","CHGOVR_PT_NAME","CHGOVR_PT_DIST","AWY_SEG_GAP_FLAG","SIGNAL_GAP_FLAG","DOGLEG","NEXT_MEA_PT","MIN_ENROUTE_ALT","MIN_ENROUTE_ALT_DIR","MIN_ENROUTE_ALT_OPPOSITE","MIN_ENROUTE_ALT_OPPOSITE_DIR","GPS_MIN_ENROUTE_ALT","GPS_MIN_ENROUTE_ALT_DIR","GPS_MIN_ENROUTE_ALT_OPPOSITE","GPS_MEA_OPPOSITE_DIR","DD_IRU_MEA","DD_IRU_MEA_DIR","DD_I_MEA_OPPOSITE","DD_I_MEA_OPPOSITE_DIR","MIN_OBSTN_CLNC_ALT","MIN_CROSS_ALT","MIN_CROSS_ALT_DIR","MIN_CROSS_ALT_NAV_PT","MIN_CROSS_ALT_OPPOSITE","MIN_CROSS_ALT_OPPOSITE_DIR","MIN_RECEP_ALT","MAX_AUTH_ALT","MEA_GAP","REQD_NAV_PERFORMANCE","REMARK","File","Action","Mods"
"2026/03/19","N","C","A220","20","CRONN","WP   ","","","ZOA","P","OP","US","BINGE","14.27","194.38","504.35","","","","N","N","N","BINGE","5500","","","","","","","","","","","","","","","","","","","","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A220","20","CRONN","WP   ","","","ZOA","P","OP","US","BINGE","14.29","194.41","504.35","","","","N","N","N","BINGE","5500","","","","","","","","","","","","","","","","","","","","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A220","30","BINGE","WP   ","","","ZOA","P","OP","US","AHNDO","14.86","194.98","524.93","","","","N","N","N","AHNDO","5500","","","","","","","","","","","","","","","","","","","","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A220","30","BINGE","WP   ","","","ZOA","P","OP","US","AHNDO","14.89","195.05","524.93","","","","N","N","N","AHNDO","5500","","","","","","","","","","","","","","","","","","","","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A220","40","AHNDO","WP   ","","","ZAK","P","OP","US","MANEY","13.52","194.1","498.05","","","","N","N","N","MANEY","5500","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A220","40","AHNDO","WP   ","","","ZAK","P","OP","US","MANEY","13.59","194.16","498.05","","","","N","N","N","MANEY","5500","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A220","50","MANEY","WP   ","","","ZOA","P","OP","US","MAFIC","14.1","194.79","255.06","","","","N","N","N","MAFIC","5500","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A220","50","MANEY","WP   ","","","ZOA","P","OP","US","MAFIC","14.17","194.88","255.06","","","","N","N","N","MAFIC","5500","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A220","60","MAFIC","WP   ","","","ZOA","P","OP","US","CINNY","15.88","195.99","30.15","","","","N","N","N","CINNY","5500","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A220","60","MAFIC","WP   ","","","ZOA","P","OP","US","CINNY","15.97","196.09","30.15","","","","N","N","N","CINNY","5500","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A221","10","CULPS","RP   ","","","ZAK","P","MP","US","ERTTS","21.79","201.84","11","","","","N","N","N","ERTTS","1500","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A221","10","CULPS","RP   ","","","ZAK","P","MP","US","ERTTS","21.84","201.89","11","","","","N","N","N","ERTTS","1500","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A221","20","ERTTS","RP   ","","","ZUA","PG","GU","US","MONIE","21.84","201.89","13","","","","N","N","N","MONIE","1500","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A221","20","ERTTS","RP   ","","","ZUA","PG","GU","US","MONIE","21.89","201.94","13","","","","N","N","N","MONIE","1500","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A221","30","MONIE","RP   ","","","ZAK","P","MP","US","LULJY","21.89","202.01","28","","","","N","N","N","LULJY","6000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A221","30","MONIE","RP   ","","","ZAK","P","MP","US","LULJY","21.94","202.06","28","","","","N","N","N","LULJY","6000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A221","40","LULJY","RP   ","","","ZAK","P","MP","US","HEXUG","21.98","202","3","","","","N","N","N","HEXUG","6000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A221","40","LULJY","RP   ","","","ZAK","P","MP","US","HEXUG","22.03","202.05","3","","","","N","N","N","HEXUG","6000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A221","50","HEXUG","RP   ","","","ZOA","P","OP","US","WILLE","22.02","202.05","7.97","","","","N","N","N","WILLE","6000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A221","50","HEXUG","RP   ","","","ZOA","P","OP","US","WILLE","22.07","202.1","7.97","","","","N","N","N","WILLE","6000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A222","10","UNZ","VORTAC","NIMITZ","AGANA","ZHN","","GU","US","CLANS","112.23","291.99","100.23","","","","N","N","N","CLANS","20000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A222","10","UNZ","VORTAC","NIMITZ","AGANA","ZHN","","GU","US","CLANS","112.3","292.02","100.23","","","","N","N","N","CLANS","20000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A222","20","CLANS","WP   ","","","ZOA","P","OP","US","AXIDE","111.89","291.76","43.61","","","","N","N","N","AXIDE","20000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A222","20","CLANS","WP   ","","","ZOA","P","OP","US","AXIDE","111.92","291.81","43.61","","","","N","N","N","AXIDE","20000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A222","30","AXIDE","WP   ","","","ZOA","P","OP","US","FIBSS","111.77","291.44","114.28","","","","N","N","N","FIBSS","20000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A222","30","AXIDE","WP   ","","","ZOA","P","OP","US","FIBSS","111.82","291.48","114.28","","","","N","N","N","FIBSS","20000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A222","40","FIBSS","WP   ","","","ZOA","P","OP","US","KRONK","111.43","290.27","349","","","","N","N","N","KRONK","20000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A222","40","FIBSS","WP   ","","","ZOA","P","OP","US","KRONK","111.46","290.29","349","","","","N","N","N","KRONK","20000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A222","50","KRONK","WP   ","","","ZAK","P","OP","US","ADUFO","116.73","295.78","249.32","","","","N","N","N","ADUFO","20000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A222","50","KRONK","WP   ","","","ZAK","P","OP","US","ADUFO","116.74","295.8","249.32","","","","N","N","N","ADUFO","20000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A222","70","PNI","NDB/DME","POHNPEI","POHNPEI ISLAND","","","","FM","AXTEN","102.9","282.8","30","","","","N","N","N","AXTEN","20000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A222","70","PNI","NDB/DME","POHNPEI","POHNPEI ISLAND","","","","FM","AXTEN","102.91","282.82","30","","","","N","N","N","AXTEN","20000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A222","90","UKS","NDB/DME","KOSRAE","KOSRAE ISLAND","","","","FM","STEFF","47.28","227.28","168.46","","","","N","N","N","STEFF","20000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE"
"2026/05/14","N","C","A222","90","UKS","NDB/DME","KOSRAE","KOSRAE ISLAND","","","","FM","STEFF","47.3","227.28","168.46","","","","N","N","N","STEFF","20000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE"
"2026/03/19","N","C","A315","10","ZBV","VOR/DME","BIMINI","BIMINI","","","","BS","SWIMM","135.3","315.41","18.51","","","","N","N","N","SWIMM","5000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE MAG_COURSE_DIST"
"2026/05/14","N","C","A315","10","ZBV","VOR/DME","BIMINI","BIMINI","","","","BS","SWIMM","135.35","315.46","18.46","","","","N","N","N","SWIMM","5000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE MAG_COURSE_DIST"
"2026/03/19","N","C","A315","70","AMBIS","RP   ","","","ZMA","MY","","BS","DUNNO","141.24","322.03","71.09","","","","N","N","N","DUNNO","7000","","","","","","","","","","","","","","","","","","16500","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A315","70","AMBIS","RP   ","","","ZMA","MY","","BS","DUNNO","141.32","322.13","71.09","","","","N","N","N","DUNNO","7000","","","","","","","","","","","","","","","","","","16500","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A315","80","DUNNO","WP   ","","","ZMA","K7","","BS","ACMEE","142.02","322.76","66.29","","","","N","N","N","ACMEE","7000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A315","80","DUNNO","WP   ","","","ZMA","K7","","BS","ACMEE","142.12","322.84","66.29","","","","N","N","N","ACMEE","7000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A315","90","ACMEE","RP   ","","","ZMA","K","OA","US","KNSLY","142.72","323.83","105.86","","","","N","N","N","KNSLY","7000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A315","90","ACMEE","RP   ","","","ZMA","K","OA","US","KNSLY","142.8","323.93","105.86","","","","N","N","N","KNSLY","7000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A315","100","KNSLY","WP   ","","","ZMA","K","OA","US","JOSES","162.35","342.68","55.27","","","","N","N","N","JOSES","7000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A315","100","KNSLY","WP   ","","","ZMA","K","OA","US","JOSES","162.45","342.78","55.27","","","","N","N","N","JOSES","7000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A331","10","ZIGIE","RP   ","","","ZHN","P","OP","US","ZOULU","32.02","212.23","70.8","","","","N","N","N","ZOULU","5500","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A331","10","ZIGIE","RP   ","","","ZHN","P","OP","US","ZOULU","32.07","212.3","70.8","","","","N","N","N","ZOULU","5500","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A331","20","ZOULU","WP   ","","","ZAK","P","OP","US","ZEMOM","32.27","213.59","412.2","","","","N","N","N","ZEMOM","5500","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A331","20","ZOULU","WP   ","","","ZAK","P","OP","US","ZEMOM","32.34","213.66","412.2","","","","N","N","N","ZEMOM","5500","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A331","30","ZEMOM","WP   ","","","ZOA","P","OP","US","ZINNO","33.64","215.31","413.07","","","","N","N","N","ZINNO","5500","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A331","30","ZEMOM","WP   ","","","ZOA","P","OP","US","ZINNO","33.7","215.41","413.07","","","","N","N","N","ZINNO","5500","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A331","40","ZINNO","WP   ","","","ZAK","P","OP","US","ZAGER","35.3","218.03","445.1","","","","N","N","N","ZAGER","5500","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A331","40","ZINNO","WP   ","","","ZAK","P","OP","US","ZAGER","35.4","218.15","445.1","","","","N","N","N","ZAGER","5500","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A331","50","ZAGER","WP   ","","","ZOA","P","OP","US","ZANNG","38.04","222.43","446.39","","","","N","N","N","ZANNG","5500","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A331","50","ZAGER","WP   ","","","ZOA","P","OP","US","ZANNG","38.16","222.56","446.39","","","","N","N","N","ZANNG","5500","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A331","60","ZANNG","WP   ","","","ZOA","P","OP","US","SEDAR","42.44","224.63","163.1","","","","N","N","N","SEDAR","5500","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A331","60","ZANNG","WP   ","","","ZOA","P","OP","US","SEDAR","42.57","224.75","163.1","","","","N","N","N","SEDAR","5500","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A332","10","AUNTI","WP   ","","","ZOA","P","OP","US","HALLI","34.75","216.26","458.77","","","","N","N","N","HALLI","5500","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A332","10","AUNTI","WP   ","","","ZOA","P","OP","US","HALLI","34.8","216.34","458.77","","","","N","N","N","HALLI","5500","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A332","20","HALLI","WP   ","","","ZOA","P","OP","US","HELOP","36.2","218.25","452.34","","","","N","N","N","HELOP","5500","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A332","20","HALLI","WP   ","","","ZOA","P","OP","US","HELOP","36.28","218.35","452.34","","","","N","N","N","HELOP","5500","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A332","30","HELOP","WP   ","","","ZOA","P","OP","US","HEKAB","38.26","221.37","440.99","","","","N","N","N","HEKAB","5500","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A332","30","HELOP","WP   ","","","ZOA","P","OP","US","HEKAB","38.36","221.47","440.99","","","","N","N","N","HEKAB","5500","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A332","40","HEKAB","WP   ","","","ZOA","P","OP","US","HEMLO","41.32","226.19","441.07","","","","N","N","N","HEMLO","5500","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A332","40","HEKAB","WP   ","","","ZOA","P","OP","US","HEMLO","41.42","226.3","441.07","","","","N","N","N","HEMLO","5500","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A337","10","JUNIE","RP   ","","","ZUA","PG","GU","US","AXIDE","352.04","172.3","58.5","","","","N","N","N","AXIDE","6000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A337","10","JUNIE","RP   ","","","ZUA","PG","GU","US","AXIDE","352.09","172.35","58.5","","","","N","N","N","AXIDE","6000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A337","20","AXIDE","WP   ","","","ZOA","P","OP","US","FONUG","352.28","172.75","99.84","","","","N","N","N","FONUG","6000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A337","20","AXIDE","WP   ","","","ZOA","P","OP","US","FONUG","352.33","172.8","99.84","","","","N","N","N","FONUG","6000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A337","30","FONUG","WP   ","","","ZOA","P","OP","US","SNAPP","352.74","173.24","100.57","","","","N","N","N","SNAPP","6000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A337","30","FONUG","WP   ","","","ZOA","P","OP","US","SNAPP","352.79","173.29","100.57","","","","N","N","N","SNAPP","6000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A337","40","SNAPP","RP   ","","","ZUA","PG","GU","US","TEEDE","356.74","177.22","93.93","","","","N","N","N","TEEDE","6000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A337","40","SNAPP","RP   ","","","ZUA","PG","GU","US","TEEDE","356.79","177.25","93.93","","","","N","N","N","TEEDE","6000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A337","50","TEEDE","WP   ","","","ZOA","P","OP","US","TEGOD","341.19","162.24","226.58","","","","N","N","N","TEGOD","6000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A337","50","TEEDE","WP   ","","","ZOA","P","OP","US","TEGOD","341.23","162.29","226.58","","","","N","N","N","TEGOD","6000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A339","10","SHREE","WP   ","","","ZOA","P","OP","US","WRNNR","13.87","195.08","338.33","","","","N","N","N","WRNNR","15000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A339","10","SHREE","WP   ","","","ZOA","P","OP","US","WRNNR","13.94","195.15","338.33","","","","N","N","N","WRNNR","15000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A339","20","WRNNR","WP   ","","","ZOA","P","OP","US","TILLY","15.04","196.72","370.6","","","","N","N","N","TILLY","15000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A339","20","WRNNR","WP   ","","","ZOA","P","OP","US","TILLY","15.11","196.79","370.6","","","","N","N","N","TILLY","15000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A339","30","TILLY","WP   ","","","ZOA","P","OP","US","KEITH","16.72","198","234.33","","","","N","N","N","KEITH","15000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A339","30","TILLY","WP   ","","","ZOA","P","OP","US","KEITH","16.79","198.05","234.33","","","","N","N","N","KEITH","15000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","A","A342","10","NUZAN","WP   ","","","ZAN","P","OP","US","OPAKE","73.85","256.47","250.8","","","","N","N","N","OPAKE","18000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","A","A342","10","NUZAN","WP   ","","","ZAN","P","OP","US","OPAKE","73.95","256.62","250.8","","","","N","N","N","OPAKE","18000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","A","A342","20","OPAKE","WP   ","","","ZAN","P","OP","US","PINSO","74.79","256.13","127.48","","","","N","N","N","PINSO","18000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
