"EFF_DATE","WEA_ID","CITY","STATE_CODE","COUNTRY_CODE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","ELEV","SURVEY_METHOD_CODE","File","Action","Mods"
"2026/05/14","ILE","KILLEEN","TX","US","31","5","9","N","31.08583333","97","41","11.4","W","-97.6865","848","E","2","Modified","ELEV SURVEY_METHOD_CODE"
"2026/03/19","MIE","MUNCIE","IN","US","40","14","32.9","N","40.24247222","85","23","44.7","W","-85.39575","937","S","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/05/14","MIE","MUNCIE","IN","US","40","14","4.24","N","40.23451111","85","23","36.82","W","-85.39356111","937","S","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/03/19","MKL","JACKSON","TN","US","35","35","35.9017","N","35.59330602","88","55","1.0439","W","-88.91695663","423","S","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/05/14","MKL","JACKSON","TN","US","35","35","35.5674","N","35.59321316","88","55","1.3418","W","-88.91703938","424","S","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/03/19","MWK","MOUNT AIRY","NC","US","36","27","40.902","N","36.46136166","80","33","11.557","W","-80.55321027","1269","S","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV SURVEY_METHOD_CODE"
"2026/05/14","MWK","MOUNT AIRY","NC","US","36","27","24.3","N","36.45675","80","33","17.4","W","-80.55483333","1283","E","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV SURVEY_METHOD_CODE"
"2026/03/19","OCW","WASHINGTON","NC","US","35","34","13.7","N","35.57047222","77","2","59.3","W","-77.04980555","37","E","1","Modified","LAT_SEC LAT_DECIMAL LONG_MIN LONG_SEC LONG_DECIMAL ELEV SURVEY_METHOD_CODE"
"2026/05/14","OCW","WASHINGTON","NC","US","35","34","13.0508","N","35.57029188","77","3","0.0811","W","-77.05002252","33","S","2","Modified","LAT_SEC LAT_DECIMAL LONG_MIN LONG_SEC LONG_DECIMAL ELEV SURVEY_METHOD_CODE"
"2026/03/19","OIC","NORWICH","NY","US","42","33","59.595","N","42.56655416","75","31","26.802","W","-75.52411166","1025","S","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/05/14","OIC","NORWICH","NY","US","42","33","51.1897","N","42.56421936","75","31","37.0012","W","-75.52694477","1019","S","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/03/19","ONP","NEWPORT","OR","US","44","34","49.3","N","44.58036111","124","3","28.5","W","-124.05791666","161","S","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/05/14","ONP","NEWPORT","OR","US","44","34","56.81","N","44.58244722","124","3","26.81","W","-124.05744722","142","S","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/03/19","OXI","KNOX","IN","US","41","19","39.1921","N","41.32755336","86","39","53.8905","W","-86.66496958","681","S","1","Modified","ELEV"
"2026/05/14","OXI","KNOX","IN","US","41","19","39.1921","N","41.32755336","86","39","53.8905","W","-86.66496958","685","S","2","Modified","ELEV"
"2026/03/19","SEP","STEPHENVILLE","TX","US","32","12","54","N","32.215","98","10","46","W","-98.17944444","1321","S","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/05/14","SEP","STEPHENVILLE","TX","US","32","12","53.9568","N","32.214988","98","10","45.4912","W","-98.17930311","1306","S","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/03/19","SIK","SIKESTON","MO","US","36","53","56.004","N","36.89889","89","33","42.3","W","-89.56175","315","E","1","Modified","LAT_MIN LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/05/14","SIK","SIKESTON","MO","US","36","54","9.83","N","36.90273055","89","33","27.97","W","-89.55776944","315","E","2","Modified","LAT_MIN LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/03/19","SUN","HAILEY","ID","US","43","29","51.125","N","43.49753472","114","17","27.3125","W","-114.29092013","5267","S","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/05/14","SUN","HAILEY","ID","US","43","29","48.8764","N","43.49691011","114","17","32.4218","W","-114.29233938","5265","S","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/05/14","1NA","ASHEVILLE","NC","US","35","34","42.77","N","35.57854722","82","33","1.2","W","-82.55033333","2325","S","2","Added",""
"2026/05/14","68S","DAVENPORT","WA","US","47","39","14.04","N","47.6539","118","10","19.36","W","-118.17204444","2430","S","2","Added",""
"2026/05/14","LKP","LAKE PLACID","NY","US","44","15","51.26","N","44.26423888","73","57","51.1","W","-73.96419444","1747","S","2","Added",""
