"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_ID","RWY_END_ID","TRUE_ALIGNMENT","ILS_TYPE","RIGHT_HAND_TRAFFIC_PAT_FLAG","RWY_MARKING_TYPE_CODE","RWY_MARKING_COND","RWY_END_LAT_DEG","RWY_END_LAT_MIN","RWY_END_LAT_SEC","RWY_END_LAT_HEMIS","LAT_DECIMAL","RWY_END_LONG_DEG","RWY_END_LONG_MIN","RWY_END_LONG_SEC","RWY_END_LONG_HEMIS","LONG_DECIMAL","RWY_END_ELEV","THR_CROSSING_HGT","VISUAL_GLIDE_PATH_ANGLE","DISPLACED_THR_LAT_DEG","DISPLACED_THR_LAT_MIN","DISPLACED_THR_LAT_SEC","DISPLACED_THR_LAT_HEMIS","LAT_DISPLACED_THR_DECIMAL","DISPLACED_THR_LONG_DEG","DISPLACED_THR_LONG_MIN","DISPLACED_THR_LONG_SEC","DISPLACED_THR_LONG_HEMIS","LONG_DISPLACED_THR_DECIMAL","DISPLACED_THR_ELEV","DISPLACED_THR_LEN","TDZ_ELEV","VGSI_CODE","RWY_VISUAL_RANGE_EQUIP_CODE","RWY_VSBY_VALUE_EQUIP_FLAG","APCH_LGT_SYSTEM_CODE","RWY_END_LGTS_FLAG","CNTRLN_LGTS_AVBL_FLAG","TDZ_LGT_AVBL_FLAG","OBSTN_TYPE","OBSTN_MRKD_CODE","FAR_PART_77_CODE","OBSTN_CLNC_SLOPE","OBSTN_HGT","DIST_FROM_THR","CNTRLN_OFFSET","CNTRLN_DIR_CODE","RWY_GRAD","RWY_GRAD_DIRECTION","RWY_END_PSN_SOURCE","RWY_END_PSN_DATE","RWY_END_ELEV_SOURCE","RWY_END_ELEV_DATE","DSPL_THR_PSN_SOURCE","RWY_END_DSPL_THR_PSN_DATE","DSPL_THR_ELEV_SOURCE","RWY_END_DSPL_THR_ELEV_DATE","TDZ_ELEV_SOURCE","RWY_END_TDZ_ELEV_DATE","TKOF_RUN_AVBL","TKOF_DIST_AVBL","ACLT_STOP_DIST_AVBL","LNDG_DIST_AVBL","LAHSO_ALD","RWY_END_INTERSECT_LAHSO","LAHSO_DESC","LAHSO_LAT","LAT_LAHSO_DECIMAL","LAHSO_LONG","LONG_LAHSO_DECIMAL","LAHSO_PSN_SOURCE","RWY_END_LAHSO_PSN_DATE","File","Action","Mods"
"2026/04/16","00254.","A","AL","DYA","DEMOPOLIS","US","04/22","22","223","","N","NPI","FAIR","32","28","7.9321","N","32.46887002","87","56","54.7676","W","-87.94854655","105.3","43","3.25","","","","","","","","","","","","","107.4","P2L","","","","","","","TREE","","C","9","34","508","238","R","","","NACO","2003/03/20","3RD PARTY SURVEY","2010/01/10","","","","","3RD PARTY SURVEY","2010/01/10","","","","","","","","","","","","","","1","Modified","RWY_MARKING_COND OBSTN_CLNC_SLOPE OBSTN_HGT DIST_FROM_THR CNTRLN_OFFSET"
"2026/05/14","00254.","A","AL","DYA","DEMOPOLIS","US","04/22","22","223","","N","NPI","GOOD","32","28","7.9321","N","32.46887002","87","56","54.7676","W","-87.94854655","105.3","43","3.25","","","","","","","","","","","","","107.4","P2L","","","","","","","TREE","","C","11","25","481","265","R","","","NACO","2003/03/20","3RD PARTY SURVEY","2010/01/10","","","","","3RD PARTY SURVEY","2010/01/10","","","","","","","","","","","","","","2","Modified","RWY_MARKING_COND OBSTN_CLNC_SLOPE OBSTN_HGT DIST_FROM_THR CNTRLN_OFFSET"
"2026/04/16","00326.","A","AL","67A","FORT DEPOSIT","US","15/33","15","","","N","BSC","POOR","31","58","35.04","N","31.9764","86","35","41.64","W","-86.5949","","","","","","","","","","","","","","","","","","","","","","","","TREE","","A(V)","10","25","450","116","L","","","OWNER","2001/01/03","","","","","","","","","","","","","","","","","","","","","","2","Deleted",""
"2026/04/16","00326.","A","AL","67A","FORT DEPOSIT","US","15/33","33","","","N","BSC","POOR","31","58","4.14","N","31.96781666","86","35","20.82","W","-86.58911666","","","","","","","","","","","","","","","","","","","","","","","","TREE","","A(V)","2","10","228","10","R","","","OWNER","2001/01/03","","","","","","","","","","","","","","","","","","","","","","2","Deleted",""
"2026/04/16","00360.","A","AL","8A1","GUNTERSVILLE","US","07/25","25","245","","","NPI","GOOD","34","24","21.4183","N","34.40594952","86","15","21.7733","W","-86.25604813","614.6","50","3.35","","","","","","","","","","","","","614.6","P2L","","","","Y","","","TREES","","C","2","21","245","127","R","","","3RD PARTY SURVEY","2015/11/22","3RD PARTY SURVEY","2015/11/22","","","","","3RD PARTY SURVEY","2015/11/22","","","","","","","","","","","","","","1","Modified","OBSTN_CLNC_SLOPE OBSTN_HGT DIST_FROM_THR CNTRLN_OFFSET"
"2026/05/14","00360.","A","AL","8A1","GUNTERSVILLE","US","07/25","25","245","","","NPI","GOOD","34","24","21.4183","N","34.40594952","86","15","21.7733","W","-86.25604813","614.6","50","3.35","","","","","","","","","","","","","614.6","P2L","","","","Y","","","TREES","","C","29","22","842","90","R","","","3RD PARTY SURVEY","2015/11/22","3RD PARTY SURVEY","2015/11/22","","","","","3RD PARTY SURVEY","2015/11/22","","","","","","","","","","","","","","2","Modified","OBSTN_CLNC_SLOPE OBSTN_HGT DIST_FROM_THR CNTRLN_OFFSET"
"2026/04/16","00528.1","A","AL","ASN","TALLADEGA","US","04/22","04","35","ILS/DME","Y","PIR","POOR","33","33","45.8925","N","33.56274791","86","3","24.9609","W","-86.05693358","509.2","65","3","","","","","","","","","","","","","510.8","P4L","","","","Y","","","TREES","","PIR","11","74","1084","547","R","","","AVN","2011/05/11","3RD PARTY SURVEY","2007/02/09","","","","","AVN","2011/04/11","","","","","","","","","","","","","","1","Modified","OBSTN_CLNC_SLOPE OBSTN_HGT DIST_FROM_THR CNTRLN_OFFSET"
"2026/05/14","00528.1","A","AL","ASN","TALLADEGA","US","04/22","04","35","ILS/DME","Y","PIR","POOR","33","33","45.8925","N","33.56274791","86","3","24.9609","W","-86.05693358","509.2","65","3","","","","","","","","","","","","","510.8","P4L","","","","Y","","","TREES","","PIR","24","63","1725","205","R","","","AVN","2011/05/11","3RD PARTY SURVEY","2007/02/09","","","","","AVN","2011/04/11","","","","","","","","","","","","","","2","Modified","OBSTN_CLNC_SLOPE OBSTN_HGT DIST_FROM_THR CNTRLN_OFFSET"
"2026/04/16","00702.07","H","AZ","AZ69","GREEN VALLEY","US","H1","H1","","","","","","31","48","26","N","31.80722222","111","0","34","W","-111.00944444","2970","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FAA","2018/01/10","STATE","2008/11/30","","","","","","","","","","","","","","","","","","","","1","Modified","RWY_MARKING_TYPE_CODE RWY_MARKING_COND"
"2026/05/14","00702.07","H","AZ","AZ69","GREEN VALLEY","US","H1","H1","","","","BSC","GOOD","31","48","26","N","31.80722222","111","0","34","W","-111.00944444","2970","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FAA","2018/01/10","STATE","2008/11/30","","","","","","","","","","","","","","","","","","","","2","Modified","RWY_MARKING_TYPE_CODE RWY_MARKING_COND"
"2026/04/16","00777.","A","AZ","48AZ","RIMROCK","US","05/23","05","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","N","N","","","A(V)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Modified","RWY_MARKING_TYPE_CODE"
"2026/05/14","00777.","A","AZ","48AZ","RIMROCK","US","05/23","05","","","N","NSTD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","N","N","","","A(V)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Modified","RWY_MARKING_TYPE_CODE"
"2026/04/16","00777.","A","AZ","48AZ","RIMROCK","US","05/23","23","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","N","N","","","A(V)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Modified","RWY_MARKING_TYPE_CODE"
"2026/05/14","00777.","A","AZ","48AZ","RIMROCK","US","05/23","23","","","Y","NSTD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","N","N","","","A(V)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Modified","RWY_MARKING_TYPE_CODE"
"2026/04/16","00880.","A","AR","BVX","BATESVILLE","US","08/26","08","80","LOC/DME","N","NPI","GOOD","35","43","23.0527","N","35.72307019","91","39","40.0713","W","-91.66113091","452.2","44","3","","","","","","","","","","","","","463","P2L","","","","Y","","","","","C","50","","","","","","","NGS","2008/06/16","NGS","2008/06/16","","","","","NGS","2008/06/16","","","","","","","","","","","","","","1","Modified","THR_CROSSING_HGT VGSI_CODE"
"2026/05/14","00880.","A","AR","BVX","BATESVILLE","US","08/26","08","80","LOC/DME","N","NPI","GOOD","35","43","23.0527","N","35.72307019","91","39","40.0713","W","-91.66113091","452.2","45","3","","","","","","","","","","","","","463","P4L","","","","Y","","","","","C","50","","","","","","","NGS","2008/06/16","NGS","2008/06/16","","","","","NGS","2008/06/16","","","","","","","","","","","","","","2","Modified","THR_CROSSING_HGT VGSI_CODE"
"2026/04/16","00880.","A","AR","BVX","BATESVILLE","US","08/26","26","260","","N","NPI","GOOD","35","43","33.5606","N","35.72598905","91","38","28.4308","W","-91.64123077","464.6","45","3","","","","","","","","","","","","","465","P2L","","","","Y","","","TREE","","C","35","32","1320","0","B","","","NGS","2008/06/16","NGS","2008/06/16","","","","","NGS","2008/06/16","","","","","","","","","","","","","","1","Modified","VGSI_CODE"
"2026/05/14","00880.","A","AR","BVX","BATESVILLE","US","08/26","26","260","","N","NPI","GOOD","35","43","33.5606","N","35.72598905","91","38","28.4308","W","-91.64123077","464.6","45","3","","","","","","","","","","","","","465","P4L","","","","Y","","","TREE","","C","35","32","1320","0","B","","","NGS","2008/06/16","NGS","2008/06/16","","","","","NGS","2008/06/16","","","","","","","","","","","","","","2","Modified","VGSI_CODE"
"2026/04/16","00904.1","A","AR","4M2","BOONEVILLE","US","09/27","09","91","","N","BSC","GOOD","35","8","58.5726","N","35.1496035","93","52","7.7857","W","-93.86882936","466","","","","","","","","","","","","","","","467.8","","","","","","","","TREES","","A(V)","7","48","550","200","R","","","3RD PARTY SURVEY","2009/08/25","3RD PARTY SURVEY","2009/08/25","","","","","3RD PARTY SURVEY","2009/08/25","","","","","","","","","","","","","","1","Modified","OBSTN_HGT DIST_FROM_THR CNTRLN_OFFSET"
"2026/05/14","00904.1","A","AR","4M2","BOONEVILLE","US","09/27","09","91","","N","BSC","GOOD","35","8","58.5726","N","35.1496035","93","52","7.7857","W","-93.86882936","466","","","","","","","","","","","","","","","467.8","","","","","","","","TREES","","A(V)","7","50","560","175","R","","","3RD PARTY SURVEY","2009/08/25","3RD PARTY SURVEY","2009/08/25","","","","","3RD PARTY SURVEY","2009/08/25","","","","","","","","","","","","","","2","Modified","OBSTN_HGT DIST_FROM_THR CNTRLN_OFFSET"
"2026/04/16","00904.1","A","AR","4M2","BOONEVILLE","US","09/27","27","271","","N","BSC","GOOD","35","8","58.0169","N","35.14944913","93","51","28.619","W","-93.85794972","446.5","","","","","","","","","","","","","","","467.8","","","","","","","","TREES","","A(V)","3","15","250","0","B","","","3RD PARTY SURVEY","2009/08/25","3RD PARTY SURVEY","2009/08/25","","","","","3RD PARTY SURVEY","2009/08/25","","","","","","","","","","","","","","1","Modified","OBSTN_CLNC_SLOPE OBSTN_HGT DIST_FROM_THR"
"2026/05/14","00904.1","A","AR","4M2","BOONEVILLE","US","09/27","27","271","","N","BSC","GOOD","35","8","58.0169","N","35.14944913","93","51","28.619","W","-93.85794972","446.5","","","","","","","","","","","","","","","467.8","","","","","","","","TREES","","A(V)","18","40","950","0","B","","","3RD PARTY SURVEY","2009/08/25","3RD PARTY SURVEY","2009/08/25","","","","","3RD PARTY SURVEY","2009/08/25","","","","","","","","","","","","","","2","Modified","OBSTN_CLNC_SLOPE OBSTN_HGT DIST_FROM_THR"
"2026/04/16","00913.335","A","AR","9AR9","CASH","US","03/21","03","27","","","","","35","49","26.5222","N","35.82403394","90","54","35.3622","W","-90.90982283","252","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FAA-EST IMAGERY","2020/05/14","FAA-EST IMAGERY","2020/05/14","","","","","","","","","","","","","","","","","","","","1","Modified","TRUE_ALIGNMENT"
"2026/05/14","00913.335","A","AR","9AR9","CASH","US","03/21","03","","","","","","35","49","26.5222","N","35.82403394","90","54","35.3622","W","-90.90982283","252","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FAA-EST IMAGERY","2020/05/14","FAA-EST IMAGERY","2020/05/14","","","","","","","","","","","","","","","","","","","","2","Modified","TRUE_ALIGNMENT"
"2026/04/16","00913.335","A","AR","9AR9","CASH","US","03/21","21","207","","","","","35","49","47.69","N","35.82991388","90","54","22.18","W","-90.90616111","251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FAA-EST IMAGERY","2020/05/14","FAA-EST IMAGERY","2020/05/14","","","","","","","","","","","","","","","","","","","","1","Modified","TRUE_ALIGNMENT"
"2026/05/14","00913.335","A","AR","9AR9","CASH","US","03/21","21","","","","","","35","49","47.69","N","35.82991388","90","54","22.18","W","-90.90616111","251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FAA-EST IMAGERY","2020/05/14","FAA-EST IMAGERY","2020/05/14","","","","","","","","","","","","","","","","","","","","2","Modified","TRUE_ALIGNMENT"
"2026/04/16","00934.","A","AR","0AR2","CRAWFORDSVILLE","US","18/36","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A(V)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Deleted",""
"2026/04/16","00934.","A","AR","0AR2","CRAWFORDSVILLE","US","18/36","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A(V)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Deleted",""
"2026/04/16","01186.","A","AR","SGT","STUTTGART","US","09/27","09","92","","N","BSC","FAIR","34","36","14.3478","N","34.6039855","91","34","43.447","W","-91.57873527","219.6","","","","","","","","","","","","","","","222.2","","","","","N","","","","","B(V)","50","","","","","","","3RD PARTY SURVEY","2005/11/14","3RD PARTY SURVEY","2005/11/14","","","","","3RD PARTY SURVEY","2005/11/14","","","","","","","","","","","","","","1","Modified","THR_CROSSING_HGT VISUAL_GLIDE_PATH_ANGLE VGSI_CODE"
"2026/05/14","01186.","A","AR","SGT","STUTTGART","US","09/27","09","92","","N","BSC","FAIR","34","36","14.3478","N","34.6039855","91","34","43.447","W","-91.57873527","219.6","43","3","","","","","","","","","","","","","222.2","P2L","","","","N","","","","","B(V)","50","","","","","","","3RD PARTY SURVEY","2005/11/14","3RD PARTY SURVEY","2005/11/14","","","","","3RD PARTY SURVEY","2005/11/14","","","","","","","","","","","","","","2","Modified","THR_CROSSING_HGT VISUAL_GLIDE_PATH_ANGLE VGSI_CODE"
"2026/04/16","01186.","A","AR","SGT","STUTTGART","US","09/27","27","272","","N","BSC","FAIR","34","36","12.7246","N","34.60353461","91","33","43.6453","W","-91.56212369","218.6","","","","","","","","","","","","","","","222.2","","","","","Y","","","","","B(V)","50","","","","","","","3RD PARTY SURVEY","2005/11/14","3RD PARTY SURVEY","2005/11/14","","","","","3RD PARTY SURVEY","2005/11/14","","","","","","","","","","","","","","1","Modified","THR_CROSSING_HGT VISUAL_GLIDE_PATH_ANGLE VGSI_CODE"
"2026/05/14","01186.","A","AR","SGT","STUTTGART","US","09/27","27","272","","N","BSC","FAIR","34","36","12.7246","N","34.60353461","91","33","43.6453","W","-91.56212369","218.6","43","3","","","","","","","","","","","","","222.2","P2L","","","","Y","","","","","B(V)","50","","","","","","","3RD PARTY SURVEY","2005/11/14","3RD PARTY SURVEY","2005/11/14","","","","","3RD PARTY SURVEY","2005/11/14","","","","","","","","","","","","","","2","Modified","THR_CROSSING_HGT VISUAL_GLIDE_PATH_ANGLE VGSI_CODE"
"2026/04/16","01710.1","A","CA","L05","KERNVILLE","US","17/35","17","","","Y","BSC","GOOD","35","43","58.83","N","35.73300833","118","25","9.26","W","-118.41923888","","","","","","","","","","","","","","","","","","","N","","N","N","N","TREES","","A(V)","22","45","1220","0","B","","","FAA-EST IMAGERY","2007/04/25","","","","","","","","","","","","","","","","","","","","","","1","Modified","OBSTN_CLNC_SLOPE OBSTN_HGT DIST_FROM_THR CNTRLN_OFFSET CNTRLN_DIR_CODE"
"2026/05/14","01710.1","A","CA","L05","KERNVILLE","US","17/35","17","","","Y","BSC","GOOD","35","43","58.83","N","35.73300833","118","25","9.26","W","-118.41923888","","","","","","","","","","","","","","","","","","","N","","N","N","N","TREES","","A(V)","19","36","920","200","R","","","FAA-EST IMAGERY","2007/04/25","","","","","","","","","","","","","","","","","","","","","","2","Modified","OBSTN_CLNC_SLOPE OBSTN_HGT DIST_FROM_THR CNTRLN_OFFSET CNTRLN_DIR_CODE"
"2026/04/16","01713.","A","CA","KIC","KING CITY","US","11/29","11","131","","N","BSC","FAIR","36","13","57.1776","N","36.23254933","121","7","37.4927","W","-121.1270813","369.6","","","","","","","","","","","","","","","372.7","","","N","","N","N","N","BERM","","A(V)","20","4","280","0","B","","","3RD PARTY SURVEY","2017/07/19","3RD PARTY SURVEY","2017/07/19","","","","","3RD PARTY SURVEY","2017/07/19","","","","","","","","","","","","","","1","Modified","THR_CROSSING_HGT VISUAL_GLIDE_PATH_ANGLE VGSI_CODE"
"2026/05/14","01713.","A","CA","KIC","KING CITY","US","11/29","11","131","","N","BSC","FAIR","36","13","57.1776","N","36.23254933","121","7","37.4927","W","-121.1270813","369.6","56","3.5","","","","","","","","","","","","","372.7","P2L","","N","","N","N","N","BERM","","A(V)","20","4","280","0","B","","","3RD PARTY SURVEY","2017/07/19","3RD PARTY SURVEY","2017/07/19","","","","","3RD PARTY SURVEY","2017/07/19","","","","","","","","","","","","","","2","Modified","THR_CROSSING_HGT VISUAL_GLIDE_PATH_ANGLE VGSI_CODE"
"2026/04/16","02089.","A","CA","RDD","REDDING","US","12/30","12","140","","N","BSC","POOR","40","30","42.8971","N","40.51191586","122","17","49.8402","W","-122.29717783","500","","","","","","","","","","","","","","","500.1","","","N","","N","N","N","TREES","","B(V)","21","65","1600","300","R","","","3RD PARTY SURVEY","2022/08/27","3RD PARTY SURVEY","2022/08/27","","","","","3RD PARTY SURVEY","2022/08/27","5067","5067","5067","5067","","","","","","","","","","2","Deleted",""
"2026/04/16","02089.","A","CA","RDD","REDDING","US","12/30","30","320","","N","BSC","POOR","40","30","4.492","N","40.50124777","122","17","7.7612","W","-122.28548922","492.3","32","3","","","","","","","","","","","","","497.6","P2L","","N","","N","N","N","TREE","","B(V)","21","88","2075","275","R","","","3RD PARTY SURVEY","2022/08/27","3RD PARTY SURVEY","2022/08/27","","","","","3RD PARTY SURVEY","2022/08/27","5067","5067","5067","5067","","","","","","","","","","2","Deleted",""
"2026/04/16","02089.","A","CA","RDD","REDDING","US","16/34","16","180","","N","PIR","POOR","40","31","13.2056","N","40.52033488","122","17","41.4754","W","-122.29485427","504.8","40","3.43","","","","","","","","","","","","","505","P4L","","N","","Y","N","N","TREE","","C","34","44","1700","650","R","","","3RD PARTY SURVEY","2022/08/27","3RD PARTY SURVEY","2022/08/27","","","","","3RD PARTY SURVEY","2022/08/27","7003","7003","7003","7003","","","","","","","","","","2","Deleted",""
"2026/04/16","02089.","A","CA","RDD","REDDING","US","16/34","34","0","ILS/DME","N","PIR","POOR","40","30","4.0077","N","40.50111325","122","17","41.5914","W","-122.2948865","490.7","55","3","","","","","","","","","","","","","499","P4L","","N","MALSR","N","N","N","","","PIR","50","","","","","","","3RD PARTY SURVEY","2022/08/27","3RD PARTY SURVEY","2022/08/27","","","","","3RD PARTY SURVEY","2022/08/27","7003","7003","6997","6997","","","","","","","","","","2","Deleted",""
