"EFF_DATE","ASOS_AWOS_ID","ASOS_AWOS_TYPE","STATE_CODE","CITY","COUNTRY_CODE","COMMISSIONED_DATE","NAVAID_FLAG","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","ELEV","SURVEY_METHOD_CODE","PHONE_NO","SECOND_PHONE_NO","SITE_NO","SITE_TYPE_CODE","REMARK","File","Action","Mods"
"2026/04/16","DVT","ASOS","AZ","PHOENIX","US","","N","33","41","17.9","N","33.68830555","112","4","57.2","W","-112.08255555","1478.1","E","623-587-7764","","00751.4","A","","1","Modified","PHONE_NO"
"2026/05/14","DVT","ASOS","AZ","PHOENIX","US","","N","33","41","17.9","N","33.68830555","112","4","57.2","W","-112.08255555","1478.1","E","480-308-1230","","00751.4","A","","2","Modified","PHONE_NO"
"2026/04/16","ELO","AWOS-3PT","MN","ELY","US","1991/09/06","N","47","49","26.4471","N","47.82401308","91","49","45.5541","W","-91.82932058","1456","E","218-365-3814","","10668.01","A","","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/05/14","ELO","AWOS-3PT","MN","ELY","US","1991/09/06","N","47","49","25.8999","N","47.82386108","91","49","59.4804","W","-91.833189","1452","E","218-365-3814","","10668.01","A","","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/04/16","FGN","AWOS-3","MN","FLAG ISLAND","US","1997/02/13","N","49","19","0","N","49.31666666","94","54","0","W","-94.9","1080","","218-223-4023","","","","STAND-ALONE FACILITY NOT ASSOCIATED WITH AN AIRPORT OR NAVAID.","2","Deleted",""
"2026/04/16","FLP","AWOS-3PT","AR","FLIPPIN","US","1991/05/30","N","36","17","32.8759","N","36.29246552","92","35","6.2605","W","-92.58507236","717.4","S","870-453-2380","","00978.","A","","1","Modified","PHONE_NO"
"2026/05/14","FLP","AWOS-3PT","AR","FLIPPIN","US","1991/05/30","N","36","17","32.8759","N","36.29246552","92","35","6.2605","W","-92.58507236","717.4","S","870-451-0691","","00978.","A","","2","Modified","PHONE_NO"
"2026/04/16","FOZ","AWOS-3PT","MN","BIGFORK","US","1997/07/30","N","47","46","59.4881","N","47.78319113","93","39","11.8744","W","-93.65329844","1344","E","218-743-3289","","10562.","A","","1","Modified","PHONE_NO"
"2026/05/14","FOZ","AWOS-3PT","MN","BIGFORK","US","1997/07/30","N","47","46","59.4881","N","47.78319113","93","39","11.8744","W","-93.65329844","1344","E","218-244-3915","","10562.","A","","2","Modified","PHONE_NO"
"2026/04/16","FSO","AWOS-3","VT","HIGHGATE","US","","N","44","56","27.9516","N","44.94109766","73","5","58.8524","W","-73.09968122","230.4","S","802-868-9941","","25436.","A","","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/05/14","FSO","AWOS-3","VT","HIGHGATE","US","","N","44","56","27.9631","N","44.94110086","73","5","58.853","W","-73.09968138","230.4","S","802-868-9941","","25436.","A","","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/04/16","GDV","AWOS-3PT","MT","GLENDIVE","US","1992/01/09","N","47","8","19.4","N","47.13872222","104","48","26","W","-104.80722222","2458.3","","406-687-3346","","12378.1","A","","1","Modified","PHONE_NO"
"2026/05/14","GDV","AWOS-3PT","MT","GLENDIVE","US","1992/01/09","N","47","8","19.4","N","47.13872222","104","48","26","W","-104.80722222","2458.3","","406-345-0085","","12378.1","A","","2","Modified","PHONE_NO"
"2026/04/16","GFL","ASOS","NY","GLENS FALLS","US","2001/07/18","N","43","20","18.2056","N","43.33839044","73","36","36.7345","W","-73.61020402","320.3","S","518-743-1728","","15309.","A","","1","Modified","PHONE_NO"
"2026/05/14","GFL","ASOS","NY","GLENS FALLS","US","2001/07/18","N","43","20","18.2056","N","43.33839044","73","36","36.7345","W","-73.61020402","320.3","S","518-223-8109","","15309.","A","","2","Modified","PHONE_NO"
"2026/04/16","I23","AWOS-3","OH","WASHINGTON COURT HOUSE","US","1996/12/09","N","39","34","10.9231","N","39.56970086","83","25","26.0753","W","-83.4239098","978.4","S","","","18642.2","A","","2","Deleted",""
"2026/04/16","ILE","AWOS-3PT","TX","KILLEEN","US","1989/08/16","N","31","5","9","N","31.08583333","97","41","11","W","-97.68638888","","","254-690-3131","","24163.","A","","1","Modified","LONG_SEC LONG_DECIMAL ELEV SURVEY_METHOD_CODE PHONE_NO"
"2026/05/14","ILE","AWOS-3PT","TX","KILLEEN","US","1989/08/16","N","31","5","9","N","31.08583333","97","41","11.4","W","-97.6865","847.5","E","254-892-3293","","24163.","A","","2","Modified","LONG_SEC LONG_DECIMAL ELEV SURVEY_METHOD_CODE PHONE_NO"
"2026/04/16","ITH","AWOS-3PT","NY","ITHACA","US","2005/09/07","N","42","29","35.056","N","42.49307111","76","27","24.945","W","-76.45692916","1099","S","607-257-2390","","15488.","A","(COMM_DECOMM_DATE) AWSS.","1","Modified","PHONE_NO"
"2026/05/14","ITH","AWOS-3PT","NY","ITHACA","US","2005/09/07","N","42","29","35.056","N","42.49307111","76","27","24.945","W","-76.45692916","1099","S","607-697-7959","","15488.","A","(COMM_DECOMM_DATE) AWSS.","2","Modified","PHONE_NO"
"2026/04/16","JFK","ASOS","NY","NEW YORK","US","1996/05/23","N","40","38","21.04","N","40.63917777","73","45","50.2","W","-73.76394444","13.8","S","718-656-0956","","15793.","A","","1","Modified","PHONE_NO"
"2026/05/14","JFK","ASOS","NY","NEW YORK","US","1996/05/23","N","40","38","21.04","N","40.63917777","73","45","50.2","W","-73.76394444","13.8","S","347-588-1609","","15793.","A","","2","Modified","PHONE_NO"
"2026/04/16","JVY","AWOS-3","IN","JEFFERSONVILLE","US","","N","38","22","23.607","N","38.37322416","85","44","11.1126","W","-85.73642016","467.5","S","812-246-1278","","05388.11","A","","2","Deleted",""
"2026/04/16","K83","AWOS-3P","KS","SABETHA","US","2012/02/06","N","39","54","18.9864","N","39.905274","95","46","28.8525","W","-95.77468125","1328.9","","785-284-2201","","06864.","A","","1","Modified","PHONE_NO"
"2026/05/14","K83","AWOS-3P","KS","SABETHA","US","2012/02/06","N","39","54","18.9864","N","39.905274","95","46","28.8525","W","-95.77468125","1328.9","","785-294-2564","","06864.","A","","2","Modified","PHONE_NO"
"2026/04/16","KOA","ASOS","HI","KAILUA-KONA","US","1998/01/20","N","19","44","16.2295","N","19.73784152","156","2","52.5518","W","-156.04793105","40.8","S","808-329-0412","","52250.2","A","","1","Modified","PHONE_NO"
"2026/05/14","KOA","ASOS","HI","KAILUA-KONA","US","1998/01/20","N","19","44","16.2295","N","19.73784152","156","2","52.5518","W","-156.04793105","40.8","S","808-991-0580","","52250.2","A","","2","Modified","PHONE_NO"
"2026/04/16","MIE","ASOS","IN","MUNCIE","US","","Y","40","14","32.9","N","40.24247222","85","23","44.7","W","-85.39575","937.4","S","765-288-9617","","05511.","A","","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/05/14","MIE","ASOS","IN","MUNCIE","US","","Y","40","14","4.24","N","40.23451111","85","23","36.82","W","-85.39356111","937.4","S","765-288-9617","","05511.","A","","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/04/16","MRC","AWOS-3","TN","COLUMBIA/MOUNT PLEASANT","US","1990/08/08","N","35","33","28.2232","N","35.55783977","87","10","39.9676","W","-87.17776877","665.1","S","931-379-0844","","22919.6","A","","1","Modified","PHONE_NO"
"2026/05/14","MRC","AWOS-3","TN","COLUMBIA/MOUNT PLEASANT","US","1990/08/08","N","35","33","28.2232","N","35.55783977","87","10","39.9676","W","-87.17776877","665.1","S","931-774-8325","","22919.6","A","","2","Modified","PHONE_NO"
"2026/04/16","MVN","AWOS-3PT","IL","MOUNT VERNON","US","1990/07/09","N","38","19","24.1","N","38.32336111","88","51","30.6","W","-88.8585","480.4","E","618-242-7933","","04891.","A","","1","Modified","PHONE_NO"
"2026/05/14","MVN","AWOS-3PT","IL","MOUNT VERNON","US","1990/07/09","N","38","19","24.1","N","38.32336111","88","51","30.6","W","-88.8585","480.4","E","618-809-6024","","04891.","A","","2","Modified","PHONE_NO"
"2026/04/16","MYL","ASOS","ID","MC CALL","US","1997/11/26","N","44","53","39.3232","N","44.89425644","116","5","59.1449","W","-116.09976247","5023.6","","208-634-0363","","04236.","A","","1","Modified","PHONE_NO"
"2026/05/14","MYL","ASOS","ID","MC CALL","US","1997/11/26","N","44","53","39.3232","N","44.89425644","116","5","59.1449","W","-116.09976247","5023.6","","208-273-0363","","04236.","A","","2","Modified","PHONE_NO"
"2026/04/16","O88","AWOS-AV","CA","RIO VISTA","US","2011/10/20","N","38","11","41.7","N","38.19491666","121","42","19.8","W","-121.7055","16","","707-374-5396","","02110.9","A","","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/05/14","O88","AWOS-AV","CA","RIO VISTA","US","2011/10/20","N","38","11","41.688","N","38.19491333","121","42","20.2162","W","-121.70561561","25.7","","707-374-5396","","02110.9","A","","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/04/16","OCW","AWOS-3","NC","WASHINGTON","US","","N","35","34","13.7","N","35.57047222","77","2","59.3","W","-77.04980555","37.4","E","252-975-6133","","17190.","A","","1","Modified","LAT_SEC LAT_DECIMAL LONG_MIN LONG_SEC LONG_DECIMAL ELEV SURVEY_METHOD_CODE"
"2026/05/14","OCW","AWOS-3","NC","WASHINGTON","US","","N","35","34","13.0508","N","35.57029188","77","3","0.0811","W","-77.05002252","32.6","S","252-975-6133","","17190.","A","","2","Modified","LAT_SEC LAT_DECIMAL LONG_MIN LONG_SEC LONG_DECIMAL ELEV SURVEY_METHOD_CODE"
"2026/04/16","OIC","AWOS-3","NY","NORWICH","US","1991/09/27","N","42","33","59.595","N","42.56655416","75","31","26.802","W","-75.52411166","1025","","607-336-8583","","15836.","A","","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV SURVEY_METHOD_CODE"
"2026/05/14","OIC","AWOS-3","NY","NORWICH","US","1991/09/27","N","42","33","51.1897","N","42.56421936","75","31","37.0012","W","-75.52694477","1019.1","S","607-336-8583","","15836.","A","","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV SURVEY_METHOD_CODE"
"2026/04/16","ONP","AWOS-3","OR","NEWPORT","US","1988/04/06","N","44","34","49","N","44.58027777","124","3","29","W","-124.05805555","","","541-867-4175","","19538.","A","","2","Deleted",""
"2026/04/16","OTG","AWOS-3PT","MN","WORTHINGTON","US","1991/06/06","N","43","39","18.2","N","43.65505555","95","34","45.1","W","-95.57919444","1574","","507-376-9441","","11104.","A","","1","Modified","PHONE_NO"
"2026/05/14","OTG","AWOS-3PT","MN","WORTHINGTON","US","1991/06/06","N","43","39","18.2","N","43.65505555","95","34","45.1","W","-95.57919444","1574","","507-804-2951","","11104.","A","","2","Modified","PHONE_NO"
"2026/04/16","OWB","AWOS-3PT","KY","OWENSBORO","US","2006/02/02","N","37","44","19.803","N","37.73883416","87","10","0.5828","W","-87.16682855","407.3","S","270-683-3228","","07308.1","A","(COMM_DECOMM_DATE) AWSS.","1","Modified","PHONE_NO"
"2026/05/14","OWB","AWOS-3PT","KY","OWENSBORO","US","2006/02/02","N","37","44","19.803","N","37.73883416","87","10","0.5828","W","-87.16682855","407.3","S","270-771-3721","","07308.1","A","(COMM_DECOMM_DATE) AWSS.","2","Modified","PHONE_NO"
"2026/04/16","SEP","AWOS-3PT","TX","STEPHENVILLE","US","","N","32","12","54","N","32.215","98","10","46","W","-98.17944444","1321.4","S","254-965-8672","","24849.","A","","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/05/14","SEP","AWOS-3PT","TX","STEPHENVILLE","US","","N","32","12","53.9568","N","32.214988","98","10","45.4912","W","-98.17930311","1305.8","S","254-965-8672","","24849.","A","","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/04/16","SIK","AWOS-3","MO","SIKESTON","US","","N","36","53","56.004","N","36.89889","89","33","42.3","W","-89.56175","315","E","573-471-7371","","12125.","A","","2","Deleted",""
"2026/04/16","SLK","ASOS","NY","SARANAC LAKE","US","","N","44","23","34.1004","N","44.39280566","74","12","20.358","W","-74.205655","1660.7","S","518-891-6696","","16097.","A","","1","Modified","PHONE_NO"
"2026/05/14","SLK","ASOS","NY","SARANAC LAKE","US","","N","44","23","34.1004","N","44.39280566","74","12","20.358","W","-74.205655","1660.7","S","518-897-7532","","16097.","A","","2","Modified","PHONE_NO"
"2026/05/14","1NA","AWOS-3P","NC","ASHEVILLE","US","2026/02/02","N","35","34","42.77","N","35.57854722","82","33","1.2","W","-82.55033333","2325","E","828-470-1122","","","","1NA AWOS-3P IS ASSOCIATED WITH HELIPORT NC95.","2","Added",""
"2026/05/14","68S","AWOS-3PT","WA","DAVENPORT","US","2025/12/03","N","47","39","14.04","N","47.6539","118","10","19.36","W","-118.17204444","2430","S","509-725-1054","","26181.","A","","2","Added",""
"2026/05/14","CDD","AWOS-3PT","MN","CRANE LAKE","US","1990/11/28","N","48","15","59.658","N","48.26657166","92","29","0.568","W","-92.48349111","1119","E","218-380-2449","","10637.3","C","","2","Added",""
"2026/05/14","DUX","AWOS-3PT","TX","DUMAS","US","","N","35","51","38.9","N","35.86080555","102","0","34.15","W","-102.00948611","3705","S","806-934-3390","","23785.1","A","","2","Added",""
"2026/05/14","FGN","AWOS-3PT","MN","FLAG ISLAND","US","1997/02/13","N","49","19","0","N","49.31666666","94","54","0","W","-94.9","1080","E","218-395-0062","","","","STAND-ALONE FACILITY NOT ASSOCIATED WITH AN AIRPORT OR NAVAID.","2","Added",""
"2026/05/14","I23","AWOS-3PT","OH","WASHINGTON COURT HOUSE","US","1996/12/09","N","39","34","19.08","N","39.57196666","83","25","28.34","W","-83.42453888","980","E","740-620-2255","","18642.2","A","","2","Added",""
"2026/05/14","JVY","AWOS-3T","IN","JEFFERSONVILLE","US","","N","38","22","23.607","N","38.37322416","85","44","11.1126","W","-85.73642016","467.5","S","812-246-1278","","05388.11","A","","2","Added",""
"2026/05/14","ONP","AWOS-3PT","OR","NEWPORT","US","1988/04/06","N","44","34","56.81","N","44.58244722","124","3","26.81","W","-124.05744722","142","","541-867-4175","","19538.","A","","2","Added",""
"2026/05/14","SIK","AWOS-3PT","MO","SIKESTON","US","","N","36","54","9.83","N","36.90273055","89","33","27.97","W","-89.55776944","315","E","573-471-2736","","12125.","A","","2","Added",""
