"EFF_DATE","ORIGIN_ID","DSTN_ID","PFR_TYPE_CODE","ROUTE_NO","SEGMENT_SEQ","SEG_VALUE","SEG_TYPE","STATE_CODE","COUNTRY_CODE","ICAO_REGION_CODE","NAV_TYPE","NEXT_SEG","File","Action","Mods"
"2026/03/19","BWI","BTV","H","1","50","BTV","NAVAID","VT","US","","VOR/DME","","2","Deleted",""
"2026/03/19","BWI","CLT","H","1","15","AIROW","FIX","VA","US","K6","","CHSLY6","2","Deleted",""
"2026/03/19","BWI","CLT","H","1","20","CHSLY6","STAR","","","","","","2","Deleted",""
"2026/03/19","BWI","DXR","H","1","15","MAEVE","FIX","NJ","US","K6","","Q439","2","Deleted",""
"2026/03/19","BWI","DXR","H","1","20","Q439","AIRWAY","","","","","SARDI","2","Deleted",""
"2026/03/19","BWI","DXR","H","1","25","SARDI","FIX","NY","US","K6","","RICED","2","Deleted",""
"2026/03/19","BWI","DXR","H","1","30","RICED","FIX","NY","US","K6","","RICED4","2","Deleted",""
"2026/03/19","BWI","DXR","H","1","35","RICED4","STAR","","","","","","2","Deleted",""
"2026/03/19","BWI","HPN","L","1","20","T320","AIRWAY","","","","","RICED","2","Deleted",""
"2026/03/19","BWI","HPN","L","1","25","RICED","FIX","NY","US","K6","","RICED4","2","Deleted",""
"2026/03/19","BWI","HPN","L","1","30","RICED4","STAR","","","","","","2","Deleted",""
"2026/03/19","BWI","LUK","H","1","10","OTTTO","FIX","VA","US","K6","","FAIRR","2","Deleted",""
"2026/03/19","BWI","LUK","H","1","15","FAIRR","FIX","ME","US","K6","","JBIZZ","2","Deleted",""
"2026/03/19","BWI","LUK","H","1","20","JBIZZ","FIX","WV","US","K6","","BRROW","2","Deleted",""
"2026/03/19","BWI","LUK","H","1","25","BRROW","FIX","KY","US","K5","","GAVNN","2","Deleted",""
"2026/03/19","BWI","LUK","H","1","30","GAVNN","FIX","KY","US","K5","","","2","Deleted",""
"2026/03/19","BWI","MSY","H","1","25","MERDN","FIX","MS","US","K7","","TRSSH1","2","Deleted",""
"2026/03/19","BWI","MSY","H","1","30","TRSSH1","STAR","","","","","","2","Deleted",""
"2026/03/19","CAK","CLT","H","1","15","LNDIZ","FIX","VA","US","K6","","PARQR4","2","Deleted",""
"2026/03/19","CAK","CLT","H","1","20","PARQR4","STAR","","","","","","2","Deleted",""
"2026/03/19","CCB","AVX","TEC","3","5","PDZ","NAVAID","CA","US","","VORTAC","PDZ270013","2","Deleted",""
"2026/03/19","CCB","AVX","TEC","3","10","PDZ270013","FRD","CA","US","","VORTAC","RNDAL","2","Deleted",""
"2026/03/19","CCB","LAX","TEC","7","15","DOWDD","FIX","CA","US","K2","","","2","Deleted",""
"2026/03/19","CDW","BTV","L","1","45","GRNMT","FIX","VT","US","K6","","BTV","2","Deleted",""
"2026/03/19","CDW","BTV","L","1","50","BTV","NAVAID","VT","US","","VOR/DME","","2","Deleted",""
"2026/03/19","CHO","CLT","H","1","5","AIROW","FIX","VA","US","K6","","CHSLY6","2","Deleted",""
"2026/03/19","CHO","CLT","H","1","10","CHSLY6","STAR","","","","","","2","Deleted",""
"2026/03/19","CHS","BWI","H","2","30","THHMP","FIX","VA","US","K6","","RAVNN8","2","Deleted",""
"2026/03/19","CHS","BWI","H","2","35","RAVNN8","STAR","","","","","","2","Deleted",""
"2026/03/19","CLE","CLT","H","1","20","LNDIZ","FIX","VA","US","K6","","PARQR4","2","Deleted",""
"2026/03/19","CLE","CLT","H","1","25","PARQR4","STAR","","","","","","2","Deleted",""
"2026/03/19","CLT","ABE","H","1","5","KRITR6","DP","","","","","FILDS","2","Deleted",""
"2026/03/19","CLT","ACK","H","1","5","BARMY5","DP","","","","","RDU","2","Deleted",""
"2026/03/19","CLT","AGC","H","1","5","KRITR6","DP","","","","","FILDS","2","Deleted",""
"2026/03/19","CLT","ALB","H","1","5","BARMY5","DP","","","","","RDU","2","Deleted",""
"2026/03/19","CLT","APF","H","1","5","ICONS5","DP","","","","","NOOKS","2","Deleted",""
"2026/03/19","CLT","AUS","H","1","5","ESTRR5","DP","","","","","IPTAY","2","Deleted",""
"2026/03/19","CLT","AVP","H","1","5","KRITR6","DP","","","","","FILDS","2","Deleted",""
"2026/03/19","CLT","BCT","H","1","5","ICONS5","DP","","","","","NOOKS","2","Deleted",""
"2026/03/19","CLT","BDL","H","1","5","BARMY5","DP","","","","","RDU","2","Deleted",""
"2026/03/19","CLT","BGR","H","1","5","BARMY5","DP","","","","","RDU","2","Deleted",""
"2026/03/19","CLT","BOS","H","1","5","BARMY5","DP","","","","","RDU","2","Deleted",""
"2026/03/19","CLT","BUF","H","1","5","KRITR6","DP","","","","","FILDS","2","Deleted",""
"2026/03/19","CLT","BWI","H","2","5","KILNS5","DP","","","","","AUDII","2","Deleted",""
"2026/03/19","CLT","BWI","H","2","15","THHMP","FIX","VA","US","K6","","RAVNN8","2","Deleted",""
"2026/03/19","CLT","BWI","H","2","20","RAVNN8","STAR","","","","","","2","Deleted",""
"2026/03/19","CLT","CLE","H","1","5","WEAZL5","DP","","","","","CLAWD","2","Deleted",""
"2026/03/19","CLT","CVG","H","1","5","JOJJO5","DP","","","","","CUBIM","2","Deleted",""
"2026/03/19","CLT","CXY","H","1","5","KRITR6","DP","","","","","FILDS","2","Deleted",""
"2026/03/19","CLT","CYOW","H","1","5","KRITR6","DP","","","","","FILDS","2","Deleted",""
"2026/03/19","CLT","CYUL","H","1","5","KRITR6","DP","","","","","FILDS","2","Deleted",""
"2026/03/19","CLT","CYYZ","H","1","5","KRITR6","DP","","","","","FILDS","2","Deleted",""
"2026/03/19","CLT","DCA","H","2","5","KILNS5","DP","","","","","AUDII","2","Deleted",""
"2026/03/19","CLT","DEN","H","1","5","BOBZY5","DP","","","","","BNA","2","Deleted",""
"2026/03/19","CLT","DFW","H","1","5","CLT","NAVAID","NC","US","","VOR/DME","JOJJO5","2","Deleted",""
"2026/03/19","CLT","DFW","H","1","10","JOJJO5","DP","","","","","CUBIM","2","Deleted",""
"2026/03/19","CLT","DFW","H","1","15","CUBIM","FIX","KY","US","K5","","RAMRD","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","1","10","CUBIM","FIX","KY","US","K5","","RAMRD","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","1","20","RAMRD","FIX","KY","US","K5","","LITTR","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","1","15","RAMRD","FIX","KY","US","K5","","LITTR","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","1","25","LITTR","FIX","AR","US","K4","","FEWWW","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","1","20","LITTR","FIX","AR","US","K4","","FEWWW","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","1","30","FEWWW","FIX","AR","US","K4","","SEEVR4","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","1","25","FEWWW","FIX","AR","US","K4","","SEEVR4","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","1","35","SEEVR4","STAR","","","","","","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","1","30","SEEVR4","STAR","","","","","","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","2","5","CLT","NAVAID","NC","US","","VOR/DME","JOJJO5","2","Deleted",""
"2026/03/19","CLT","DFW","H","2","10","JOJJO5","DP","","","","","CUBIM","2","Deleted",""
"2026/03/19","CLT","DFW","H","2","15","CUBIM","FIX","KY","US","K5","","RAMRD","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","2","10","CUBIM","FIX","KY","US","K5","","RAMRD","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","2","20","RAMRD","FIX","KY","US","K5","","LITTR","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","2","15","RAMRD","FIX","KY","US","K5","","LITTR","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","2","25","LITTR","FIX","AR","US","K4","","FEWWW","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","2","20","LITTR","FIX","AR","US","K4","","FEWWW","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","2","30","FEWWW","FIX","AR","US","K4","","BRDJE5","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","2","25","FEWWW","FIX","AR","US","K4","","BRDJE5","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","2","35","BRDJE5","STAR","","","","","","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","2","30","BRDJE5","STAR","","","","","","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","3","5","CLT","NAVAID","NC","US","","VOR/DME","ESTRR5","2","Deleted",""
"2026/03/19","CLT","DFW","H","3","10","ESTRR5","DP","","","","","IPTAY","2","Deleted",""
"2026/03/19","CLT","DFW","H","3","15","IPTAY","FIX","GA","US","K7","","CHOPZ","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","3","10","IPTAY","FIX","GA","US","K7","","CHOPZ","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","3","20","CHOPZ","FIX","GA","US","K7","","THRSR","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","3","15","CHOPZ","FIX","GA","US","K7","","THRSR","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","3","25","THRSR","FIX","GA","US","K7","","VLKNN","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","3","20","THRSR","FIX","GA","US","K7","","VLKNN","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","3","30","VLKNN","FIX","AL","US","K7","","Q30","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","3","25","VLKNN","FIX","AL","US","K7","","Q30","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","3","35","Q30","AIRWAY","","","","","IZAAC","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","3","30","Q30","AIRWAY","","","","","IZAAC","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","3","40","IZAAC","FIX","MS","US","K7","","YUYUN","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","3","35","IZAAC","FIX","MS","US","K7","","YUYUN","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","3","45","YUYUN","FIX","LA","US","K4","","BEREE3","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","3","40","YUYUN","FIX","LA","US","K4","","BEREE3","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","3","50","BEREE3","STAR","","","","","","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","3","45","BEREE3","STAR","","","","","","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","4","5","CLT","NAVAID","NC","US","","VOR/DME","ESTRR5","2","Deleted",""
"2026/03/19","CLT","DFW","H","4","10","ESTRR5","DP","","","","","IPTAY","2","Deleted",""
"2026/03/19","CLT","DFW","H","4","15","IPTAY","FIX","GA","US","K7","","CHOPZ","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","4","10","IPTAY","FIX","GA","US","K7","","CHOPZ","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","4","20","CHOPZ","FIX","GA","US","K7","","THRSR","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","4","15","CHOPZ","FIX","GA","US","K7","","THRSR","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","4","25","THRSR","FIX","GA","US","K7","","VLKNN","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","4","20","THRSR","FIX","GA","US","K7","","VLKNN","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","4","30","VLKNN","FIX","AL","US","K7","","Q30","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","4","25","VLKNN","FIX","AL","US","K7","","Q30","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","4","35","Q30","AIRWAY","","","","","IZAAC","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","4","30","Q30","AIRWAY","","","","","IZAAC","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","4","40","IZAAC","FIX","MS","US","K7","","YUYUN","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","4","35","IZAAC","FIX","MS","US","K7","","YUYUN","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","4","45","YUYUN","FIX","LA","US","K4","","WHINY4","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","4","40","YUYUN","FIX","LA","US","K4","","WHINY4","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DFW","H","4","50","WHINY4","STAR","","","","","","1","Modified","SEGMENT_SEQ"
"2026/05/14","CLT","DFW","H","4","45","WHINY4","STAR","","","","","","2","Modified","SEGMENT_SEQ"
"2026/03/19","CLT","DTW","H","1","5","WEAZL5","DP","","","","","CLAWD","2","Deleted",""
"2026/03/19","CLT","DTW","H","2","5","WEAZL5","DP","","","","","CLAWD","2","Deleted",""
"2026/03/19","CLT","EWR","H","2","5","KILNS5","DP","","","","","AUDII","2","Deleted",""
"2026/03/19","CLT","EYW","H","1","5","BEAVY6","DP","","","","","JENDO","2","Deleted",""
"2026/03/19","CLT","FLL","H","1","5","ICONS5","DP","","","","","NOOKS","2","Deleted",""
"2026/03/19","CLT","FMY","H","1","5","ICONS5","DP","","","","","NOOKS","2","Deleted",""
"2026/03/19","CLT","HOU","H","2","5","ESTRR5","DP","","","","","IPTAY","2","Deleted",""
"2026/03/19","CLT","HOU","H","4","5","ESTRR5","DP","","","","","IPTAY","2","Deleted",""
"2026/03/19","CLT","HOU","H","5","5","ESTRR5","DP","","","","","IPTAY","2","Deleted",""
"2026/03/19","CLT","HPN","H","1","5","BARMY5","DP","","","","","RDU","2","Deleted",""
"2026/03/19","CLT","IAD","H","2","5","KILNS5","DP","","","","","AUDII","2","Deleted",""
"2026/03/19","CLT","IAH","H","1","5","ESTRR5","DP","","","","","IPTAY","2","Deleted",""
"2026/03/19","CLT","IAH","H","2","5","ESTRR5","DP","","","","","IPTAY","2","Deleted",""
"2026/03/19","CLT","JFK","H","1","5","BARMY5","DP","","","","","TYI","2","Deleted",""
"2026/03/19","CLT","LBE","H","1","5","KRITR6","DP","","","","","FILDS","2","Deleted",""
"2026/03/19","CLT","LGA","H","1","5","BARMY5","DP","","","","","RDU","2","Deleted",""
"2026/03/19","CLT","MCO","H","1","5","ICONS5","DP","","","","","NOOKS","2","Deleted",""
"2026/03/19","CLT","MCO","H","3","5","ICONS5","DP","","","","","NOOKS","2","Deleted",""
"2026/03/19","CLT","MDT","H","1","5","KRITR6","DP","","","","","FILDS","2","Deleted",""
"2026/03/19","CLT","MDW","H","1","5","WEAZL5","DP","","","","","CLAWD","2","Deleted",""
"2026/03/19","CLT","MDW","H","2","5","WEAZL5","DP","","","","","CLAWD","2","Deleted",""
"2026/03/19","CLT","MHT","H","1","5","BARMY5","DP","","","","","RDU","2","Deleted",""
"2026/03/19","CLT","MIA","H","1","5","ICONS5","DP","","","","","NOOKS","2","Deleted",""
"2026/03/19","CLT","MKY","H","1","5","ICONS5","DP","","","","","NOOKS","2","Deleted",""
"2026/03/19","CLT","MVY","H","1","5","BARMY5","DP","","","","","RDU","2","Deleted",""
"2026/03/19","CLT","ORD","H","1","5","JOJJO5","DP","","","","","DOOGE","2","Deleted",""
"2026/03/19","CLT","ORF","H","1","5","BARMY5","DP","","","","","NUTZE","2","Deleted",""
"2026/03/19","CLT","PBI","H","1","5","ICONS5","DP","","","","","NOOKS","2","Deleted",""
"2026/03/19","CLT","PHF","H","1","5","BARMY5","DP","","","","","NUTZE","2","Deleted",""
"2026/03/19","CLT","PHL","H","1","5","KILNS5","DP","","","","","AUDII","2","Deleted",""
"2026/03/19","CLT","PIT","H","1","5","KRITR6","DP","","","","","FILDS","2","Deleted",""
"2026/03/19","CLT","PNS","H","1","5","ESTRR5","DP","","","","","IPTAY","2","Deleted",""
"2026/03/19","CLT","PVD","H","1","5","BARMY5","DP","","","","","RDU","2","Deleted",""
"2026/03/19","CLT","PWM","H","1","5","BARMY5","DP","","","","","RDU","2","Deleted",""
"2026/03/19","CLT","RIC","H","1","5","BARMY5","DP","","","","","RDU","2","Deleted",""
"2026/03/19","CLT","ROC","H","1","5","KRITR6","DP","","","","","FILDS","2","Deleted",""
"2026/03/19","CLT","RSW","H","1","5","ICONS5","DP","","","","","NOOKS","2","Deleted",""
"2026/03/19","CLT","SAT","H","1","5","ESTRR5","DP","","","","","IPTAY","2","Deleted",""
"2026/03/19","CLT","SAT","H","2","5","ESTRR5","DP","","","","","IPTAY","2","Deleted",""
"2026/03/19","CLT","SBY","H","1","5","BARMY5","DP","","","","","TYI","2","Deleted",""
"2026/03/19","CLT","SRQ","H","1","5","ICONS5","DP","","","","","NOOKS","2","Deleted",""
"2026/03/19","CLT","SYR","H","1","5","KRITR6","DP","","","","","FILDS","2","Deleted",""
"2026/03/19","CLT","TEB","H","1","5","BARMY5","DP","","","","","RDU","2","Deleted",""
"2026/03/19","CLT","TPA","H","2","5","BEAVY6","DP","","","","","JENDO","2","Deleted",""
"2026/03/19","CMA","BUR","TEC","1","5","VTU054","RADIAL","CA","US","","VOR/DME","TOAKS","2","Deleted",""
"2026/03/19","CMA","BUR","TEC","1","10","TOAKS","FIX","CA","US","K2","","","2","Deleted",""
"2026/03/19","CMA","F70","TEC","1","5","VTU","NAVAID","CA","US","","VOR/DME","VTU044013","2","Deleted",""
"2026/03/19","CMA","F70","TEC","1","10","VTU044013","FRD","CA","US","","VOR/DME","GINNA","2","Deleted",""
"2026/03/19","CMA","F70","TEC","1","15","GINNA","FIX","CA","US","K2","","V326","1","Modified","SEGMENT_SEQ"
"2026/05/14","CMA","F70","TEC","1","10","GINNA","FIX","CA","US","K2","","V326","2","Modified","SEGMENT_SEQ"
"2026/03/19","CMA","F70","TEC","1","20","V326","AIRWAY","","","","","VNY","1","Modified","SEGMENT_SEQ"
"2026/05/14","CMA","F70","TEC","1","15","V326","AIRWAY","","","","","VNY","2","Modified","SEGMENT_SEQ"
"2026/03/19","CMA","F70","TEC","1","25","VNY","NAVAID","CA","US","","VOR/DME","V186","1","Modified","SEGMENT_SEQ"
"2026/05/14","CMA","F70","TEC","1","20","VNY","NAVAID","CA","US","","VOR/DME","V186","2","Modified","SEGMENT_SEQ"
"2026/03/19","CMA","F70","TEC","1","30","V186","AIRWAY","","","","","PDZ","1","Modified","SEGMENT_SEQ"
"2026/05/14","CMA","F70","TEC","1","25","V186","AIRWAY","","","","","PDZ","2","Modified","SEGMENT_SEQ"
"2026/03/19","CMA","F70","TEC","1","35","PDZ","NAVAID","CA","US","","VORTAC","PDZ092015","2","Deleted",""
"2026/03/19","CMA","F70","TEC","1","40","PDZ092015","FRD","CA","US","","VORTAC","JESEX","2","Deleted",""
"2026/03/19","CMA","F70","TEC","1","45","JESEX","FIX","CA","US","K2","","TIQMU","1","Modified","SEGMENT_SEQ"
"2026/05/14","CMA","F70","TEC","1","35","JESEX","FIX","CA","US","K2","","TIQMU","2","Modified","SEGMENT_SEQ"
"2026/03/19","CMA","F70","TEC","1","50","TIQMU","FIX","CA","US","K2","","","1","Modified","SEGMENT_SEQ"
"2026/05/14","CMA","F70","TEC","1","40","TIQMU","FIX","CA","US","K2","","","2","Modified","SEGMENT_SEQ"
"2026/03/19","CMA","VNY","TEC","1","5","CMA","NAVAID","CA","US","","VOR/DME","CMA072","2","Deleted",""
"2026/03/19","CMA","VNY","TEC","1","10","CMA072","RADIAL","CA","US","","VOR/DME","GINNA","2","Deleted",""
"2026/03/19","CMA","VNY","TEC","1","15","GINNA","FIX","CA","US","K2","","","1","Modified","SEGMENT_SEQ"
"2026/05/14","CMA","VNY","TEC","1","10","GINNA","FIX","CA","US","K2","","","2","Modified","SEGMENT_SEQ"
"2026/03/19","CMA","WHP","TEC","1","5","CMA","NAVAID","CA","US","","VOR/DME","CMA072","2","Deleted",""
"2026/03/19","CMA","WHP","TEC","1","10","CMA072","RADIAL","CA","US","","VOR/DME","GINNA","2","Deleted",""
"2026/03/19","CMA","WHP","TEC","1","15","GINNA","FIX","CA","US","K2","","","1","Modified","SEGMENT_SEQ"
"2026/05/14","CMA","WHP","TEC","1","10","GINNA","FIX","CA","US","K2","","","2","Modified","SEGMENT_SEQ"
"2026/03/19","CNO","AVX","TEC","1","5","PDZ","NAVAID","CA","US","","VORTAC","PDZ270013","2","Deleted",""
"2026/03/19","CNO","AVX","TEC","1","10","PDZ270013","FRD","CA","US","","VORTAC","RNDAL","2","Deleted",""
"2026/03/19","CNO","LAX","TEC","1","15","DOWDD","FIX","CA","US","K2","","","2","Deleted",""
"2026/03/19","CYUL","CLT","H","1","35","AIROW","FIX","VA","US","K6","","CHSLY6","2","Deleted",""
"2026/03/19","CYUL","CLT","H","1","40","CHSLY6","STAR","","","","","","2","Deleted",""
"2026/03/19","DAB","CLT","H","2","20","CHECR","FIX","SC","US","K7","","STOCR4","2","Deleted",""
"2026/03/19","DAB","CLT","H","2","25","STOCR4","STAR","","","","","","2","Deleted",""
"2026/03/19","DAL","BWI","H","1","25","CJAAE","FIX","WV","US","K6","","RAVNN8","2","Deleted",""
"2026/03/19","DAL","BWI","H","1","30","RAVNN8","STAR","","","","","","2","Deleted",""
"2026/03/19","DCA","BTV","H","2","50","GRNMT","FIX","VT","US","K6","","BTV","2","Deleted",""
"2026/03/19","DCA","BTV","H","2","55","BTV","NAVAID","VT","US","","VOR/DME","","2","Deleted",""
"2026/03/19","DCA","BTV","L","1","50","LAGGS","FIX","NY","US","K6","","BTV","2","Deleted",""
