"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","LEGACY_ELEMENT_NUMBER","TAB_NAME","REF_COL_NAME","ELEMENT","REF_COL_SEQ_NO","REMARK","File","Action","Mods"
"2026/04/16","00777.","A","AZ","48AZ","RIMROCK","US","A110-7","AIRPORT","GENERAL_REMARK","","7","NIGHT OPNS NOT AUTH WITHOUT PRIOR AMGR APPROVAL. CALL 928-567-4561.  ","1","Modified","REMARK"
"2026/05/14","00777.","A","AZ","48AZ","RIMROCK","US","A110-7","AIRPORT","GENERAL_REMARK","","7","NIGHT OPS PPR - AMGR.","2","Modified","REMARK"
"2026/04/16","00777.","A","AZ","48AZ","RIMROCK","US","A81-APT","AIRPORT","LGT_SKED","","1","FOR LIRL RY 05/23 CALL 928-567-4561.","1","Modified","REMARK"
"2026/05/14","00777.","A","AZ","48AZ","RIMROCK","US","A81-APT","AIRPORT","LGT_SKED","","1","ACTVT LIRL RWY 05/23 - AMGR.","2","Modified","REMARK"
"2026/04/16","00777.","A","AZ","48AZ","RIMROCK","US","A30-05/23","RUNWAY","RWY_ID","05/23","1","LAND UPHILL RWY 05; TKOF DWNHILL RWY 23.","1","Modified","REMARK"
"2026/05/14","00777.","A","AZ","48AZ","RIMROCK","US","A30-05/23","RUNWAY","RWY_ID","05/23","1","LND UPHILL RWY 05; TKOF DOWNHILL RWY 23.","2","Modified","REMARK"
"2026/04/16","00777.","A","AZ","48AZ","RIMROCK","US","A40-05/23","RUNWAY","RWY_LGT_CODE","05/23","1","LIRL NSTD DUE TO LGTS SPACED AT 150 FT INTERVALS AND THLDS LGTD WITH TWO SETS OF BLUE LGTS.","1","Modified","REMARK"
"2026/05/14","00777.","A","AZ","48AZ","RIMROCK","US","A40-05/23","RUNWAY","RWY_LGT_CODE","05/23","1","NSTD SPACED 150 FT.","2","Modified","REMARK"
"2026/04/16","00777.","A","AZ","48AZ","RIMROCK","US","A23-05","RUNWAY_END","RIGHT_HAND_TRAFFIC_PAT_FLAG","05","1","<RWY 05 MAKE RGT TURN ON TKOF.","1","Modified","REMARK"
"2026/05/14","00777.","A","AZ","48AZ","RIMROCK","US","A23-05","RUNWAY_END","RIGHT_HAND_TRAFFIC_PAT_FLAG","05","1","TURN R ON TKOF.","2","Modified","REMARK"
"2026/04/16","00777.","A","AZ","48AZ","RIMROCK","US","A52-05","RUNWAY_END_OBSTN","OBSTN_TYPE","05","1","30 PLINE .5 NM FROM RY 05.","1","Modified","REMARK"
"2026/05/14","00777.","A","AZ","48AZ","RIMROCK","US","A52-05","RUNWAY_END_OBSTN","OBSTN_TYPE","05","1","30 FT PWR LINE 0.5 NM FM RWY END.","2","Modified","REMARK"
"2026/04/16","00880.","A","AR","BVX","BATESVILLE","US","A81-APT","AIRPORT","LGT_SKED","","1","ACTVT REIL RWYS 08 & 26 AND MIRL RWY 08/26 - CTAF.","1","Modified","REMARK"
"2026/05/14","00880.","A","AR","BVX","BATESVILLE","US","A81-APT","AIRPORT","LGT_SKED","","1","ACTVT REIL RWYS 08, 26; MIRL RWY 08/26 - CTAF.","2","Modified","REMARK"
"2026/04/16","00934.","A","AR","0AR2","CRAWFORDSVILLE","US","A110-1","AIRPORT","GENERAL_REMARK","","1","FOR CD CTC MEMPHIS APCH AT 901-842-8457. ","2","Deleted",""
"2026/04/16","00978.","A","AR","FLP","FLIPPIN","US","A110-4","AIRPORT","GENERAL_REMARK","","4","NO LINE OF SIGHT BTN RY ENDS.","1","Modified","REMARK"
"2026/05/14","00978.","A","AR","FLP","FLIPPIN","US","A110-4","AIRPORT","GENERAL_REMARK","","4","NO LINE OF SIGHT BTN RWY ENDS.","2","Modified","REMARK"
"2026/04/16","00978.","A","AR","FLP","FLIPPIN","US","A81-APT","AIRPORT","LGT_SKED","","1","ACTVT MIRL RY 04/22; PAPI AND REIL RYS 04 & 22 - CTAF.","1","Modified","REMARK"
"2026/05/14","00978.","A","AR","FLP","FLIPPIN","US","A81-APT","AIRPORT","LGT_SKED","","1","ACTVT REIL RWY 04, 22; PAPI RWY 04, 22; MIRL RWY 04/22 - CTAF.","2","Modified","REMARK"
"2026/04/16","01035.27","A","AR","AS31","JONESBORO","US","A16","AIRPORT_CONTACT","PHONE_NO","MANAGER","1","JOHN.OTTAV@GMAIL.COM","1","Modified","REMARK"
"2026/05/14","01035.27","A","AR","AS31","JONESBORO","US","A16","AIRPORT_CONTACT","PHONE_NO","MANAGER","1","MKC602@YAHOO.COM","2","Modified","REMARK"
"2026/04/16","01165.02","H","AR","AR78","SEARCY","US","A14","AIRPORT_CONTACT","NAME","MANAGER","1","OTHER CONTACT:  RICK HARE 501-380-4900","1","Modified","REMARK"
"2026/05/14","01165.02","H","AR","AR78","SEARCY","US","A14","AIRPORT_CONTACT","NAME","MANAGER","1","OTHER CONTACT: TIM LOUKS 501-380-4900","2","Modified","REMARK"
"2026/04/16","01186.","A","AR","SGT","STUTTGART","US","A81-APT","AIRPORT","LGT_SKED","","1","ACTVT MALSF RWY 36; REIL RWY 18 & 27; MIRL RWYS 09/27 & 18/36 - CTAF.","1","Modified","REMARK"
"2026/05/14","01186.","A","AR","SGT","STUTTGART","US","A81-APT","AIRPORT","LGT_SKED","","1","ACTVT MALSF RWY 36; REIL RWY 18 & 27; PAPI RWY 09 & 27; MIRL RWYS 09/27 & 18/36 - CTAF.","2","Modified","REMARK"
"2026/04/16","01276.","A","CA","AVX","AVALON","US","A110-3","AIRPORT","GENERAL_REMARK","","3","OPS PROHIBITED AT NIGHT OR WHEN ARPT IS UNATNDD.","1","Modified","REMARK"
"2026/05/14","01276.","A","CA","AVX","AVALON","US","A110-3","AIRPORT","GENERAL_REMARK","","3","NO NGT OPS.","2","Modified","REMARK"
"2026/04/16","01276.","A","CA","AVX","AVALON","US","A110-13","AIRPORT","GENERAL_REMARK","","13","NO JET ACFT OPS AUTH.","1","Modified","REMARK"
"2026/05/14","01276.","A","CA","AVX","AVALON","US","A110-13","AIRPORT","GENERAL_REMARK","","13","RADIO MUST BE ON FREQ IF ENG IS RUNNING.","2","Modified","REMARK"
"2026/04/16","01276.","A","CA","AVX","AVALON","US","A11","AIRPORT_CONTACT","NAME","OWNER","1","CATALINA ISLAND CONSERVANCY, ARPT MGR  CARL TRUE 714-732-2607; ASST  MGR  EFRAIH CALDERA 562-889-0481.","1","Modified","REMARK"
"2026/05/14","01276.","A","CA","AVX","AVALON","US","A11","AIRPORT_CONTACT","NAME","OWNER","1","CATALINA ISLAND CONSERVANCY, ARPT MGR EFRAIN CALDERA 562-889-0481.","2","Modified","REMARK"
"2026/04/16","01356.1","A","CA","L62","BUTTONWILLOW","US","A16","AIRPORT_CONTACT","PHONE_NO","MANAGER","1","CELL PHONE:  661-747-4051; H24:  661-393-3868; FAX:  661-391-1801; EMAIL:  GRANTE@KERNCOUNTY.COM.","1","Modified","REMARK"
"2026/05/14","01356.1","A","CA","L62","BUTTONWILLOW","US","A16","AIRPORT_CONTACT","PHONE_NO","MANAGER","1","24 HR EMERG PHONE 661-747-4055.","2","Modified","REMARK"
"2026/04/16","01565.1","A","CA","SUU","FAIRFIELD","US","A110-68","AIRPORT","GENERAL_REMARK","","68","AMC SKEDD MSN (EXC FOR CIV DOD CONTR, DV, AND MEDEVAC MSN) DO NOT RQR PPR.  ALL OTHER TSNT ACFT RQR PPR.  TSNT ACFT REQ PPR CTC AFLD MGMT AT DSN 837-2836, C707-424-2836 OR 60OSS.OSAA.AMOPS@US.AF.MIL.  ACFT WITH PPR CARRYING DV, AIR EVAC, AND SPL AIR MSN MUST CTC AFLD MGMT ON PTD FOR NOTIFICATION AND TRKG PURPOSES.","1","Modified","REMARK"
"2026/05/14","01565.1","A","CA","SUU","FAIRFIELD","US","A110-68","AIRPORT","GENERAL_REMARK","","68","AMC SKEDD MSN (EXC FOR CIV DOD CONTR, DV, AND MEDEVAC MSN) DO NOT RQR PPR.  ALL OTHER TSNT ACFT RQR PPR.  TSNT ACFT REQ PPR CTC AFLD MGMT AT DSN 837-2836/2837, C707-424-2836 OR 60OSS.OSAA.AMOPS@US.AF.MIL.  ACFT WITH PPR CARRYING DV, AIR EVAC, AND SPL AIR MSN MUST CTC AFLD MGMT ON PTD FOR NOTIFICATION AND TRKG PURPOSES.","2","Modified","REMARK"
"2026/04/16","01569.3","A","CA","L73","FAMOSO","US","A14","AIRPORT_CONTACT","NAME","MANAGER","1","CHIEF OPERATIONS OFFICER","1","Modified","REMARK"
"2026/05/14","01569.3","A","CA","L73","FAMOSO","US","A14","AIRPORT_CONTACT","NAME","MANAGER","1","DIRECTOR, KERN COUNTY AIRPORTS","2","Modified","REMARK"
"2026/04/16","01569.3","A","CA","L73","FAMOSO","US","A16","AIRPORT_CONTACT","PHONE_NO","MANAGER","1","CELL PHONE:  661-747-4051; H24 CTC:  661-393-3868; FAX:  661-391-1801; EMAIL:  GRANTE@KERNCOUNTY.COM.","1","Modified","REMARK"
"2026/05/14","01569.3","A","CA","L73","FAMOSO","US","A16","AIRPORT_CONTACT","PHONE_NO","MANAGER","1","24 HR EMERG PHONE 661-747-4055.","2","Modified","REMARK"
"2026/04/16","01683.","A","CA","IPL","IMPERIAL","US","A110-2","AIRPORT","GENERAL_REMARK","","2","AVOID NAF EL CENTRO TFC; ACFT DEPG RWY 26 MAKE IMT RIGHT TURN - STAY BELOW 1000 FT; CTC NAF TWR 119.1 FOR ADZY.","1","Modified","REMARK"
"2026/05/14","01683.","A","CA","IPL","IMPERIAL","US","A110-2","AIRPORT","GENERAL_REMARK","","2","IN VFR CONDS, AVOID NAF EL CENTRO TFC; ACFT DEPG KIPL RWY 26 MAKE AN IMT RIGHT TURN & STAY BELOW 1000 FT; CTC NAF TWR 119.1 FOR ADZY.","2","Modified","REMARK"
"2026/04/16","01710.1","A","CA","L05","KERNVILLE","US","A14","AIRPORT_CONTACT","NAME","MANAGER","1","CELL  661-747-4053.","1","Modified","REMARK"
"2026/05/14","01710.1","A","CA","L05","KERNVILLE","US","A14","AIRPORT_CONTACT","NAME","MANAGER","1","DIRECTOR, KERN COUNTY AIRPORTS","2","Modified","REMARK"
"2026/04/16","01710.1","A","CA","L05","KERNVILLE","US","A16","AIRPORT_CONTACT","PHONE_NO","MANAGER","1","CELL PHONE: 661-747-4051; H24 CTC:  661-393-3868; FAX:  661-391-1801; EMAIL:  GRANTE@KERNCOUNTY.COM.","1","Modified","REMARK"
"2026/05/14","01710.1","A","CA","L05","KERNVILLE","US","A16","AIRPORT_CONTACT","PHONE_NO","MANAGER","1","24 HR EMERG PHONE 661-747-4055.","2","Modified","REMARK"
"2026/04/16","01818.","A","CA","LAX","LOS ANGELES","US","A110-65","AIRPORT","GENERAL_REMARK","","65","LAX SVC TXL K AND TXL L LAWA RAMP TWR OPN CTC LAWA RAMP TWR 131.075.","1","Modified","REMARK"
"2026/05/14","01818.","A","CA","LAX","LOS ANGELES","US","A110-65","AIRPORT","GENERAL_REMARK","","65","LAX SVC TXL K AND TXL L LAWA RAMP TWR OPN CTC CITY RAMP TWR 131.075.","2","Modified","REMARK"
"2026/04/16","01818.","A","CA","LAX","LOS ANGELES","US","A110-66","AIRPORT","GENERAL_REMARK","","66","LAX SVC TXL M AND TXL C13 LAWA RAMP TWR OPN CTC LAWA RAMP TWR 131.975.","1","Modified","REMARK"
"2026/05/14","01818.","A","CA","LAX","LOS ANGELES","US","A110-66","AIRPORT","GENERAL_REMARK","","66","LAX SVC TXL M AND TXL C13 LAWA RAMP TWR OPN CTC CITY RAMP TWR 131.975.","2","Modified","REMARK"
"2026/04/16","01927.","A","CA","NUQ","MOUNTAIN VIEW","US","A110-28","AIRPORT","GENERAL_REMARK","","28","BIRD HAZ LIKELY TO BE HIGHEST FROM SEP TO MAR (BASH PHASE II) AND LOWER FROM APR TO AUG (PHASE I).","1","Modified","REMARK"
"2026/05/14","01927.","A","CA","NUQ","MOUNTAIN VIEW","US","A110-28","AIRPORT","GENERAL_REMARK","","28","MILITARY REMARKS - CAUTION - BIRD HAZ.  BIRD HAZ LIKELY HIGHEST BTN 0130-0330Z DAILY.","2","Modified","REMARK"
"2026/04/16","01927.","A","CA","NUQ","MOUNTAIN VIEW","US","A110-33","AIRPORT","GENERAL_REMARK","","33","MILITARY REMARKS - ANG OPR 1330-2400Z++ MON-THU AND EVERY OTR FRI.  CLSD SAT, SUN AND HOL.  COMD POST C650-603-9333.  PRKG ON ANG RAMP IS PPR OFFL BUS AND PRE-CDN WITH 129 OSF/OSA AT C650-603-8234 RQRD.  LTD MAINT AND FUEL SUPPORT FOR C130 AND H60 ACFT, NO PAX AND NO TSNT ALERT SVC.  LTD RAMP SPACE.  TSNT ACFT MAY BE DIV TO NASA FBO.  AIRFIELD MGR DOES NOT STORE COMSEC.","1","Modified","REMARK"
"2026/05/14","01927.","A","CA","NUQ","MOUNTAIN VIEW","US","A110-33","AIRPORT","GENERAL_REMARK","","33","MILITARY REMARKS - ANG - OPR HRS ARE DTRMD BY ANG MISSION RQMNTS, MON-THU AND EVERY OTR FRI.  CLSD SAT, SUN AND HOL.  COMD POST C650-603-9333.  PRKG ON ANG RAMP IS PPR OFFL BUS AND PRE-CDN WITH 129 OSF/OSA AT C650-603-8234 RQRD.  LTD MAINT AND FUEL SUPPORT FOR C130 AND H60 ACFT, NO PAX AND NO TSNT ALERT SVC.  LTD RAMP SPACE.  TSNT ACFT MAY BE DIV TO NASA FBO.  AIRFIELD MGR DOES NOT STORE COMSEC.","2","Modified","REMARK"
"2026/04/16","01986.","A","CA","ONT","ONTARIO","US","A110-46","AIRPORT","GENERAL_REMARK","","46","ACFT PRKG AND CONTR GND SVCS ARE LTD FOR UNSKED OPS.  FOR SKED INFO CALL AIRFIELD OPS (909) 214-7682/7683.","1","Modified","REMARK"
"2026/05/14","01986.","A","CA","ONT","ONTARIO","US","A110-46","AIRPORT","GENERAL_REMARK","","46","ACFT PRKG AND CONTR GND SVCS ARE LTD FOR UNSKED OPS.  FOR SCHEDULING INFO CALL AIRFIELD OPS 909-544-5454.","2","Modified","REMARK"
"2026/04/16","01986.","A","CA","ONT","ONTARIO","US","A110-54","AIRPORT","GENERAL_REMARK","","54","TWY F SOUTH OF TWY S RSTRD TO ACFT WITH 117 FT WINGSPAN AND SMALLER.  TWY F SOUTH OF RWY 26L RSTRD TO ACFT WITH 180 FT WINGSPAN.","2","Deleted",""
"2026/04/16","02089.","A","CA","RDD","REDDING","US","A81-APT","AIRPORT","LGT_SKED","","1","ACTVT MALSR RWY 34; REIL RWY 16; PAPI RWY 16; HIRL RWY 16/34; MIRL RWY 12/30; TWY LGTS - CTAF.","1","Modified","REMARK"
"2026/05/14","02089.","A","CA","RDD","REDDING","US","A81-APT","AIRPORT","LGT_SKED","","1","ACTVT MALSR RWY 35; REIL RWY 17; PAPI RWY 17; HIRL RWY 17/35; MIRL RWY 13/31; TWY LGTS - CTAF.","2","Modified","REMARK"
"2026/04/16","02089.","A","CA","RDD","REDDING","US","A39-12/30","RUNWAY","PCN","12/30","1","PCR VALUE: 350/F/C/X/T","2","Deleted",""
"2026/04/16","02089.","A","CA","RDD","REDDING","US","A39-16/34","RUNWAY","PCN","16/34","1","PCR VALUE: 500/F/B/X/T","2","Deleted",""
"2026/04/16","02089.","A","CA","RDD","REDDING","US","A30-12/30","RUNWAY","RWY_ID","12/30","1","RWY 12/30 NOT AVBL FOR PART 121/PART 380 OPS WITH SKED PAX CARRYING OPS MORE THAN 9 PAX SEATS AND NON-SKED PAX CARRYING OPS MORE THAN 30 PAX SEATS.","2","Deleted",""
"2026/04/16","02089.","A","CA","RDD","REDDING","US","A42-12_COND","RUNWAY_END","RWY_MARKING_COND","12","1","MRKGS FADED.","2","Deleted",""
"2026/04/16","02089.","A","CA","RDD","REDDING","US","A42-16_COND","RUNWAY_END","RWY_MARKING_COND","16","1","MARKINGS FADED, NOT REFLECTIVE.","2","Deleted",""
"2026/04/16","02089.","A","CA","RDD","REDDING","US","A42-30_COND","RUNWAY_END","RWY_MARKING_COND","30","1","MRKGS FADED.","2","Deleted",""
"2026/04/16","02089.","A","CA","RDD","REDDING","US","A42-34_COND","RUNWAY_END","RWY_MARKING_COND","34","1","MRKGS FADED, NOT REFLECTIVE.","2","Deleted",""
"2026/04/16","02089.","A","CA","RDD","REDDING","US","A33-12/30_COND","RUNWAY_SURFACE_TYPE","COND","12/30","1","SEVERE CRACKING.","2","Deleted",""
"2026/04/16","02089.","A","CA","RDD","REDDING","US","A33-16/34_COND","RUNWAY_SURFACE_TYPE","COND","16/34","1","SEVERE CRACKING.","2","Deleted",""
"2026/04/16","02127.","A","CA","SAC","SACRAMENTO","US","A14","AIRPORT_CONTACT","NAME","MANAGER","1","FLESHMANL@SACCOUNTY.GOV","1","Modified","REMARK"
"2026/05/14","02127.","A","CA","SAC","SACRAMENTO","US","A14","AIRPORT_CONTACT","NAME","MANAGER","1","OGLER@SACCOUNTY.GOV","2","Modified","REMARK"
"2026/04/16","02211.","A","CA","SBP","SAN LUIS OBISPO","US","A110-11","AIRPORT","GENERAL_REMARK","","11","ALL TWYS SW OF RWY 11/29 CLSD TO ACR OPNS.","2","Deleted",""
"2026/04/16","02211.","A","CA","SBP","SAN LUIS OBISPO","US","A14","AIRPORT_CONTACT","NAME","MANAGER","1","DEPUTY DIR: CRAIG PIPER (805) 781-4376.","1","Modified","REMARK"
"2026/05/14","02211.","A","CA","SBP","SAN LUIS OBISPO","US","A14","AIRPORT_CONTACT","NAME","MANAGER","1","DEPUTY DIR: TIM O'KEEFFE 805-788-2000.","2","Modified","REMARK"
"2026/04/16","02315.41","A","CA","6CL8","STOCKTON","US","E111","AIRPORT","ASP_ANLYS_DTRM_CODE","","1","PROVIDED VFR, PRIVATE USE AND MAINTAIN COMMUNICATIONS WITH STOCKTON MUNI ARPT ATCT.","2","Deleted",""
"2026/04/16","02315.41","A","CA","6CL8","STOCKTON","US","A110-1","AIRPORT","GENERAL_REMARK","","1","RY 09/27 SOFT AFTER RAIN.","2","Deleted",""
"2026/04/16","02315.41","A","CA","6CL8","STOCKTON","US","A110-2","AIRPORT","GENERAL_REMARK","","2","FOR CD CTC NORCAL APCH AT 916-361-0516.","2","Deleted",""
"2026/04/16","02315.41","A","CA","6CL8","STOCKTON","US","A110-3","AIRPORT","GENERAL_REMARK","","3","LAND WITH PPR OF OWNER ONLY.","2","Deleted",""
"2026/04/16","02338.","A","CA","L17","TAFT","US","A110-3","AIRPORT","GENERAL_REMARK","","3","BE ALERT TO  LGTD CRANES WITHIN 5 NMR 200' AGL AND BELOW.","2","Deleted",""
"2026/04/16","02338.","A","CA","L17","TAFT","US","A14","AIRPORT_CONTACT","NAME","MANAGER","1","CTC ERIC GRANT, OPERATIONS MANAGER 661-391-1824.","1","Modified","REMARK"
"2026/05/14","02338.","A","CA","L17","TAFT","US","A14","AIRPORT_CONTACT","NAME","MANAGER","1","DIRECTOR, KERN COUNTY AIRPORTS","2","Modified","REMARK"
"2026/04/16","02338.","A","CA","L17","TAFT","US","A16","AIRPORT_CONTACT","PHONE_NO","MANAGER","1","CELL PHONE:  661-747-4051; H24 CTC:  661-393-3868; FAX:  661-391-1801; EMAIL:  GRANTE@KERNCOUNTY.COM.","1","Modified","REMARK"
"2026/05/14","02338.","A","CA","L17","TAFT","US","A16","AIRPORT_CONTACT","PHONE_NO","MANAGER","1","24 HR EMERG PHONE 661-747-4055.","2","Modified","REMARK"
"2026/04/16","02422.","A","CA","L19","WASCO","US","A14","AIRPORT_CONTACT","NAME","MANAGER","1","MICHAEL MUSCA AIRPORT DIRECTOR, KERN COUNTY AIRPORTS OFFICE 661-391-1824; MUSCAM@KERNCOUNTY.COM.","1","Modified","REMARK"
"2026/05/14","02422.","A","CA","L19","WASCO","US","A14","AIRPORT_CONTACT","NAME","MANAGER","1","DIRECTOR, KERN COUNTY AIRPORTS","2","Modified","REMARK"
"2026/04/16","02422.","A","CA","L19","WASCO","US","A16","AIRPORT_CONTACT","PHONE_NO","MANAGER","1","CELL PHONE:  661-747-4051; H24 CTC:  661-393-3868; FAX:  661-391-1801;  EMAIL:  GRANTE@KERNCOUNTY.COM.","1","Modified","REMARK"
"2026/05/14","02422.","A","CA","L19","WASCO","US","A16","AIRPORT_CONTACT","PHONE_NO","MANAGER","1","24 HR EMERG PHONE 661-747-4055.","2","Modified","REMARK"
"2026/04/16","02627.","A","CO","GXY","GREELEY","US","A110-1","AIRPORT","GENERAL_REMARK","","1","RWY 17/35 PREFERRED USE WHEN X WIND CMPT EXCEEDS 12 KT ON RWY 10/28.","1","Modified","REMARK"
