airwayKey,awyId,awyDesignation,regulatory,remark,airwayString,updateDate,sourceCycle,sourceTable,sourceRowId
AIRWAY:A590,A590,PA,N,,PASRO POWAL PLADO PINSO POOFF PINTT PTZGR PUGGY POETT SELDM PORGE HAMND,2024/03/28,2026-05-14,AWY_BASE,19
AIRWAY:A597,A597,PA,N,,ADBON OKOLE GALSS JUNIE OPLAR GUMGE UNZ WUVEN REEDE RICHH MONPI,2014/06/04,2026-05-14,AWY_BASE,20
AIRWAY:A598,A598,PA,N,,MARTI MAJ,2014/06/04,2026-05-14,AWY_BASE,21
AIRWAY:A638,A638,AT,N,,STT GUYRO SLUGO PJM,2022/10/14,2026-05-14,AWY_BASE,22
AIRWAY:A699,A699,AT,N,,SUMRS LOUIZ HOOKY NUCAR STIFF RAMJT PERMT PBI,2024/03/28,2026-05-14,AWY_BASE,23
AIRWAY:A756,A756,AT,N,,BODLO KNSLY ROSEA DUKKY,2021/08/18,2026-05-14,AWY_BASE,24
AIRWAY:A766,A766,AT,N,,SBI LAURL KLAMS KENGS KELPP KEHLI,2021/12/15,2026-05-14,AWY_BASE,25
AIRWAY:A770,A770,AT,N,,LEV DOLPH ALGAE KEHLI,2012/11/06,2026-05-14,AWY_BASE,26
AIRWAY:AR10,AR10,AT,N,,DHP TURBO PREDA ZAPPA,2013/03/12,2026-05-14,AWY_BASE,27
AIRWAY:AR11,AR11,AT,N,VIRGINIA KEY R-058 UNUSABLE JANUS TO VALLY,VKZ JANUS VALLY,2019/06/27,2026-05-14,AWY_BASE,28
AIRWAY:AR12,AR12,AT,N,,DEDDY PITRW SNNTA OGGRE EBEAR DIZNY RROOO HARON JAINS,2021/08/17,2026-05-14,AWY_BASE,29
AIRWAY:AR15,AR15,AT,N,,BAHAA HIBAC PETEE APOLO MALET ORL,2025/02/21,2026-05-14,AWY_BASE,30
AIRWAY:AR16,AR16,AT,N,,PERMT LENDS GRUBR SNABS SEELO,2022/12/29,2026-05-14,AWY_BASE,31
AIRWAY:AR17,AR17,AT,N,,WAALT OSTNN ACMED OGGRE NRRSE BAHAA HIBAC VKZ,2024/05/10,2026-05-14,AWY_BASE,32
AIRWAY:AR18,AR18,AT,N,,WOLFO RAMJT ETECK PELCN OZENA ROWSY FLRDA,2025/02/21,2026-05-14,AWY_BASE,33
AIRWAY:AR19,AR19,AT,N,,MAJIK FLAMU RAZZL AAARG JRDAN SAGGY CHIEZ,2024/05/10,2026-05-14,AWY_BASE,34
AIRWAY:AR22,AR22,AT,N,,HOAGG MEIGS DUUNK SPOOF IDOLS SKARP,2024/05/10,2026-05-14,AWY_BASE,35
AIRWAY:AR23,AR23,AT,N,,URSUS ZFP CANIT OZENA,2022/09/06,2026-05-14,AWY_BASE,36
AIRWAY:AR24,AR24,AT,N,,URSUS ZFP BRATZ OHLAA COACH TYCAL JAZZI,2022/09/06,2026-05-14,AWY_BASE,37
AIRWAY:AR3,AR3,AT,N,AR-3 EXCLUDES THE AIRSPACE WITHIN W-157C.,ZQA KURAY MELON HANKX BARTS ANGLL NUCAR CASPR SCOBY CARPX ADUCI JAZZI DIZNY FRRAM JRDAN KEEKS OSTNN GARIC,2022/05/25,2026-05-14,AWY_BASE,38
AIRWAY:AR5,AR5,AT,N,,KOOKK FEMON JAWSS BAHAA SNABS OZENA OHLAA CARPX TROUT,2021/08/17,2026-05-14,AWY_BASE,39
AIRWAY:AR6,AR6,AT,N,,ORL BITHO MALET APOLO PETEE HIBAC HALSS HOBEE,2025/02/21,2026-05-14,AWY_BASE,40
AIRWAY:AR8,AR8,AT,N,,ECG OHPEA TOMMZ OXANA,2022/10/17,2026-05-14,AWY_BASE,41
AIRWAY:AR9,AR9,AT,N,,ORF BAATT NAGGI FUMES MEYRA ATLIC OUTES ETMEY DELPP CUMBY CROAK ZIBUT,2022/05/25,2026-05-14,AWY_BASE,42
AIRWAY:B200,B200,PA,N,,BISOX ANJJE CARLS BENTS AMATT TONYS FICKY,2022/03/21,2026-05-14,AWY_BASE,43
AIRWAY:B233,B233,PA,N,,GAL SANGL KUTAL,2015/05/18,2026-05-14,AWY_BASE,44
AIRWAY:B24,B24,AT,N,,SIE FISSH DASHA CORNE JETER WICKE HAPVY DIAAN BOJAN AGUNE LYNUS AZEZU WEBBB,2022/10/17,2026-05-14,AWY_BASE,45
AIRWAY:B240,B240,PA,N,,ERNIK IDROD AVUBA ENM,2022/03/04,2026-05-14,AWY_BASE,46
AIRWAY:B241,B241,PA,N,,ENM ENEGU ROCET RUSOR,2022/03/04,2026-05-14,AWY_BASE,47
AIRWAY:B244,B244,PA,N,,FRENK OTZ,2024/03/28,2026-05-14,AWY_BASE,48
AIRWAY:B326,B326,PA,N,,CHOKO NIXEE NUTTO NAMIE NIXAM,2008/02/11,2026-05-14,AWY_BASE,49
AIRWAY:B452,B452,PA,N,,ATIGO KERRY KRONK KRASY DOHRT,2014/06/04,2026-05-14,AWY_BASE,50
AIRWAY:B453,B453,PA,N,,BOXER KYLLE KANUA VIDKU TAMRU SIMLU KURTT PETPA NAKBI METPA KATCH MDO,2014/06/10,2026-05-14,AWY_BASE,51
AIRWAY:B454,B454,PA,N,,UPNAR COMIR BORIC ARENS TONYS,2014/06/04,2026-05-14,AWY_BASE,52
AIRWAY:B474,B474,PA,N,,BARKR ADOWA ARVII ADISN ARTOP,2008/02/21,2026-05-14,AWY_BASE,53
AIRWAY:B503,B503,AT,N,,ENAMO RYDEL HODGY ZQA,2022/03/18,2026-05-14,AWY_BASE,54
AIRWAY:B520,B520,AT,N,,ANTEX BQN DDP MALIE STT PASIC LARPP JUICE PJM ELOPO ANU,2019/04/30,2026-05-14,AWY_BASE,55
AIRWAY:B577,B577,PA,N,,PASSA QUIGG SANTA CANOL BELAN AHNDO LENNA FICKY,2014/06/05,2026-05-14,AWY_BASE,56
AIRWAY:B580,B580,PA,N,,BARKR BOYES BESTY BAYUS BOILS,2008/02/21,2026-05-14,AWY_BASE,57
AIRWAY:B581,B581,PA,N,,WOOBY WACOS WOSLU WAYSE WINTY CAMOS BALKS AFONE WEDES FICKY,2014/06/05,2026-05-14,AWY_BASE,58
AIRWAY:B586,B586,PA,N,,OMLET TOESS WINZR UNZ ASADE KAPOK HUTEL NUTTI PIKOK,2014/06/05,2026-05-14,AWY_BASE,59
AIRWAY:B589,B589,PA,N,,MAJ ELNUR,2014/06/03,2026-05-14,AWY_BASE,60
AIRWAY:B595,B595,PA,N,,KOA TARDE TAKIE TARPP TENOR,2011/07/18,2026-05-14,AWY_BASE,61
AIRWAY:B596,B596,PA,N,,DOVRR RUDEE RAGDE RAYOR RAMIZ,2008/02/11,2026-05-14,AWY_BASE,62
AIRWAY:B757,B757,PA,N,CHART NORTH PACIFIC ROUTE CHART,KATCH HMPTN GRIZZ CJAYY EHM ONEOX HOWRR NULUK,2023/12/12,2026-05-14,AWY_BASE,63
AIRWAY:B760,B760,AT,N,,ZBV LEEVI MENDL BORDO,2024/09/06,2026-05-14,AWY_BASE,64
AIRWAY:B892,B892,AT,N,,ANTEX MAZ,2022/03/17,2026-05-14,AWY_BASE,65
AIRWAY:B932,B932,PA,N,,BAMOK MORLY EPLOS KIVAK LESAD MCG,2026/01/29,2026-05-14,AWY_BASE,66
AIRWAY:BR10L,BR10L,BF,N,,ZFP FLINY HAANA MRRSH BNTTZ,2022/03/04,2026-05-14,AWY_BASE,67
AIRWAY:BR1L,BR1L,BF,N,,JOLTS ZFP BARTS MAMML DIAZZ LOGVN BRRGO AVNEY BENIE OREDE RAHAM STRUD BIKIN GTK,2022/05/25,2026-05-14,AWY_BASE,68
AIRWAY:BR21V,BR21V,BF,N,,ZFP ULAMA KIXAL WALIK PBI,2022/05/14,2026-05-14,AWY_BASE,69
AIRWAY:BR22V,BR22V,BF,N,,FLL DEKAL WIERS OYSTA CAREY MAJUR ZQA,2022/05/14,2026-05-14,AWY_BASE,70
AIRWAY:BR2L,BR2L,BF,N,,ZSJ DUKKY WRECK SOLEI TROTR PVN TOMAZ BURTZ GOVET JUELE,2022/05/25,2026-05-14,AWY_BASE,71
AIRWAY:BR49V,BR49V,BF,N,,DHP LUVLY JUNUR FOWEE LUCSS JERRE TINKY NICKO ZQA,2022/05/25,2026-05-14,AWY_BASE,72
AIRWAY:BR53V,BR53V,BF,N,,VKZ SKIPS LEEVI SWIMM WOOZE RAJAY PRUNE HINZY ZQA GUAVA BNTTZ,2022/05/14,2026-05-14,AWY_BASE,73
AIRWAY:BR54V,BR54V,BF,N,,PBI MRLIN PREDA ISAAC OYSTA CAREY MAJUR ZQA,2022/05/25,2026-05-14,AWY_BASE,74
AIRWAY:BR55V,BR55V,BF,N,,PBI MRLIN PREDA BEECH ZBV RAJAY PRUNE HINZY ZQA BURRL SEAAN MUVOD BRRGO,2024/09/06,2026-05-14,AWY_BASE,75
AIRWAY:BR57V,BR57V,BF,N,,FLL DEKAL WIERS ZBV CAREY MAJUR ZQA,2024/09/06,2026-05-14,AWY_BASE,76
AIRWAY:BR58V,BR58V,BF,N,,ZQA KURAY MELON HANKX BARTS ANGLL,2019/06/26,2026-05-14,AWY_BASE,77
AIRWAY:BR63V,BR63V,BF,N,,PBI TURPS MIXAE HALBI ULAMA ZFP CEGUR BURBO BAYRU HANKX MELON KURAY ZQA,2022/05/25,2026-05-14,AWY_BASE,78
AIRWAY:BR64V,BR64V,BF,N,,VKZ KAINS QEPRO KUCEP LONNI HEATT MRLIN MUNRO ZFP,2025/03/11,2026-05-14,AWY_BASE,79
AIRWAY:BR65V,BR65V,BF,N,,ZQA PEACH SYDNY LAUTH ZFP RAPPS STIFF ELDER ADOOR,2019/06/17,2026-05-14,AWY_BASE,80
AIRWAY:BR66V,BR66V,BF,N,,VKZ JANUS PADUS ZFP,2022/05/25,2026-05-14,AWY_BASE,81
AIRWAY:BR68V,BR68V,BF,N,,FLL MRLIN MUNRO ZFP,2022/05/25,2026-05-14,AWY_BASE,82
AIRWAY:BR69V,BR69V,BF,N,,ZBV BAHMA MAYKO ZFP JAMAX BENZI JOLTS KIXAL WALIK PBI,2024/01/30,2026-05-14,AWY_BASE,83
AIRWAY:BR70V,BR70V,BF,N,,FLL TURBO PADUS ZFP GRREG MRRSH ZQA,2022/05/25,2026-05-14,AWY_BASE,84
AIRWAY:BR71V,BR71V,BF,N,,ZFP WOPOP WLKER,2024/03/28,2026-05-14,AWY_BASE,85
AIRWAY:BR9L,BR9L,BF,N,,GTK TOMAZ CARAH SKHOT KNSLY,2021/08/19,2026-05-14,AWY_BASE,86
AIRWAY:G1,G1,G,Y,,ADK HORTH MORDI TESPE CHUNA UNETE ELF,2017/05/22,2026-05-14,AWY_BASE,87
AIRWAY:G10,G10,G,Y,,EHM SPY IVOXE BILBE GENFU ELF SAFKO CFMWC IYUWI PDN ESHOS ZEVON WIDTH RWO,2025/06/09,2026-05-14,AWY_BASE,88
AIRWAY:G12,G12,G,Y,,ELF KOTIZ UCLON MILAM DUGAC HBT RAYMD PEWUK PDN,2025/06/09,2026-05-14,AWY_BASE,89
AIRWAY:G2,G2,G,Y,,HBT CUBPA GESSE CILAC FEVBO FIGAN JOGMO RWO,2008/06/19,2026-05-14,AWY_BASE,90
AIRWAY:G205,G205,PA,N,,RUTUS KISME GOOFI JUNIE OPLAR GUMGE UNZ GUYES TERYY TEGOD,2014/06/04,2026-05-14,AWY_BASE,91
AIRWAY:G215,G215,PA,N,,NRKEY OLCOT PLADO SYA CURVS DUT,2021/10/04,2026-05-14,AWY_BASE,92
AIRWAY:G223,G223,PA,N,,MUBIT OLGIS PHILY RISBA,2014/06/04,2026-05-14,AWY_BASE,93
AIRWAY:G339,G339,PA,N,,UNZ SHAWS RIDLL NATSS PAKDO,2014/06/04,2026-05-14,AWY_BASE,94
AIRWAY:G347,G347,PA,N,,DATBE DASNE DULCE DUNEY,2022/03/21,2026-05-14,AWY_BASE,95
AIRWAY:G349,G349,PA,N,,MARCC KIVAK PALIN NEONN,2022/03/07,2026-05-14,AWY_BASE,96
AIRWAY:G437,G437,AT,N,,DYNAH JAYEE JEFRY BRONO WELKS ZQA INGRA ELBOW AVOXI BAAGR OMALY MAPYL,2023/04/27,2026-05-14,AWY_BASE,97
AIRWAY:G439,G439,AT,N,,DHP MNATE TWNNS DROWN,2022/10/17,2026-05-14,AWY_BASE,98
AIRWAY:G444,G444,AT,N,,BOTES SAAKO GTK,2022/11/14,2026-05-14,AWY_BASE,99
AIRWAY:G457,G457,PA,N,,DATBE EGKEL EBEBE ELLMS,2008/02/21,2026-05-14,AWY_BASE,100
AIRWAY:G467,G467,PA,N,,ENDAX YELLO KITSS ACRON PULEE UNZ,2023/06/08,2026-05-14,AWY_BASE,101
AIRWAY:G469,G469,PA,N,,NYMPH ONEIL RULOY PINTT CREMR SPY PDN,2021/10/04,2026-05-14,AWY_BASE,102
AIRWAY:G504,G504,AT,N,,LETON IORIO COUKY FOLLE PRRDO ANGSS STRUD RATTL PVN SHOEZ CARAH ALBBE,2022/03/10,2026-05-14,AWY_BASE,103
AIRWAY:G575,G575,PA,N,,WIBIG CINTO BIGBY APIDD HILCO FICKY,2023/06/08,2026-05-14,AWY_BASE,104
AIRWAY:G583,G583,PA,N,,BESAT MARCC MUNRI ENM,2022/02/24,2026-05-14,AWY_BASE,105
AIRWAY:G629,G629,AT,N,,KNSLY RAPPR CATHI PVN EGANN RAHAM LYMIN,2021/08/19,2026-05-14,AWY_BASE,106
AIRWAY:G633,G633,AT,N,,GABAR DANDE TANZY COY SNOOZ VEDAS TUUNA DDP MAZ ZADAV MELLA,2022/02/17,2026-05-14,AWY_BASE,107
AIRWAY:G648,G648,AT,N,,GTK PVN MICAS,2022/10/17,2026-05-14,AWY_BASE,108
AIRWAY:G8,G8,G,Y,,ADK RUNUW LONOK SIYNY DUT ZEBUV MORDI TESPE CHUNA UNETE ELF,2025/11/25,2026-05-14,AWY_BASE,109
AIRWAY:H201,H201,PA,N,,OME SLEDD AVUBA ENEGU MUNRI KIVAK NAYLD,2022/03/07,2026-05-14,AWY_BASE,110
AIRWAY:H222,H222,PA,N,,VALDA ICEEE SLEDD MCG,2022/03/07,2026-05-14,AWY_BASE,111
AIRWAY:J1,J1,J,Y,,TIJ TEYON MZB OCN LAX FIM REYES DERBB AVE OAK RBL HANDY OED DREWS BTG ALDER SEA,2023/06/08,2026-05-14,AWY_BASE,112
AIRWAY:J10,J10,J,Y,,LAX JUGLI CIVET RUSTT PIONE TNP CADEZ HIPPI FLG RSK HBU FQF LBF DSM IOW,2023/04/18,2026-05-14,AWY_BASE,113
AIRWAY:J100,J100,J,Y,,LAX DAG MISEN CLARR LAS SUVIE NORRA BCE SAKES EKR FROGS SNY DBQ COTON OBK,2023/04/18,2026-05-14,AWY_BASE,114
AIRWAY:J101,J101,J,Y,,IAH LFK SKKIP ADUKE BERKE CISAR LIT PLIED TWRAY STL FARGO SPI OBK BAE GRB SSM,2025/11/25,2026-05-14,AWY_BASE,115
AIRWAY:J102,J102,J,Y,,PXR FORPE CHEKR BOLIC ZUN GUP PUMPS RGINA ALS LAA RYLIE SLN,2026/02/12,2026-05-14,AWY_BASE,116
AIRWAY:J104,J104,J,Y,,LAX JUGLI CIVET RUSTT PIONE TNP PKE WLVRN CULTS KOFFA GBN ALMON TUS SSAND SSO WOBUG GREBE TMACK ONM FTI PUB,2017/05/22,2026-05-14,AWY_BASE,117
AIRWAY:J106,J106,J,Y,,JHW HOXIE DMACK STENT MAGIO LVZ JENNO HARTY STW LGA,2017/05/22,2026-05-14,AWY_BASE,118
AIRWAY:J107,J107,J,Y,,LAX JUGLI CIVET RESOR HEC BLD OVETO NORRA BERYL MLF URNUW OCS DDY DPR,2021/10/06,2026-05-14,AWY_BASE,119
AIRWAY:J108,J108,J,Y,,INW SJN TCS GINGR INK,2017/05/22,2026-05-14,AWY_BASE,120
AIRWAY:J11,J11,J,Y,,TUS TOTEC TUKEE PXR DRK KIDDR NAVHO CORKR SNAER FREDD BCE URNUW NEEBO FFU TCH,2026/02/03,2026-05-14,AWY_BASE,121
AIRWAY:J110,J110,J,Y,,BLD LRAIN RSK ALS GCK KIRKE PEABO FRACA BUM SCAWT ELSTO KOOOP STL COWES TILMN VHP FYLLS CREEP EMPTY BOWRR ZANDR CORVS AIR LEJOY VINSE GRAHM BEETS LARRI KIPPI FLIRT PENSY CYN,2025/12/08,2026-05-14,AWY_BASE,122
AIRWAY:J111,J111,J,Y,,OME WONAB UNK MCG WINOR FFITZ TED,2021/12/16,2026-05-14,AWY_BASE,123
AIRWAY:J112,J112,J,Y,,BUM EUNIK ULMAN CROCK FAM PLESS PXV IIU,2021/12/16,2026-05-14,AWY_BASE,124
AIRWAY:J114,J114,J,Y,,DVV LANDR SNY BENNZ YANKI NARLY ONL FSD GEP,2023/06/05,2026-05-14,AWY_BASE,125
AIRWAY:J115,J115,J,Y,,ADK DUT CDB BINAL CUDDA TANIE AKN CIFJI TUCKS ENA TED BGQ CAWIN FAI,2025/11/25,2026-05-14,AWY_BASE,126
AIRWAY:J116,J116,J,Y,,TCH FFU EKR FQF,2017/05/22,2026-05-14,AWY_BASE,127
AIRWAY:J117,J117,J,Y,,MCG GAL OTZ,2011/01/12,2026-05-14,AWY_BASE,128
AIRWAY:J12,J12,J,Y,,SEA NORMY BLUIT EPH DNJ TWF TCH FFU HELPR FIRRE RIFMN JNC,2021/06/16,2026-05-14,AWY_BASE,129
AIRWAY:J120,J120,J,Y,,ADK SPY POETT BET MCG FAI FYU,2021/12/06,2026-05-14,AWY_BASE,130
AIRWAY:J122,J122,J,Y,,FAI GAL OME,2017/05/22,2026-05-14,AWY_BASE,131
AIRWAY:J123,J123,J,Y,,CJAYY ODK KOKOZ AKN KOWOK BET OME OTZ BRW,2017/05/22,2026-05-14,AWY_BASE,132
AIRWAY:J124,J124,J,Y,,BGQ GKN ORT,2012/02/13,2026-05-14,AWY_BASE,133
AIRWAY:J125,J125,J,Y,,ODK KODNE TED,2022/11/01,2026-05-14,AWY_BASE,134
AIRWAY:J126,J126,J,Y,,LAX RZS CEANO ROBIE GOALI SNS SAC RBL HANDY OED EUG UBG OLM CFXKC CFQLS CFGFX,2025/09/29,2026-05-14,AWY_BASE,135
AIRWAY:J127,J127,J,Y,,AKN RINGO NONDA,2011/01/12,2026-05-14,AWY_BASE,136
AIRWAY:J128,J128,J,Y,,LAX JUGLI CIVET RUSTT EMMEY DIKES BUGGA ETINE PGS TBC LRAIN HBU FQF HCT DBQ COTON OBK,2026/01/28,2026-05-14,AWY_BASE,137
AIRWAY:J129,J129,J,Y,,OME CIVED OTZ,2001/05/09,2026-05-14,AWY_BASE,138
AIRWAY:J13,J13,J,Y,,BECON RUTER TCS ABQ FRIHO ESPAN ALS VIMPY FQF CYS DDY BIL GTF CFNGJ,2025/10/01,2026-05-14,AWY_BASE,139
AIRWAY:J131,J131,J,Y,,SAT HENLY SPURS JUMBO EDNAS FUZ TXK LIT RUSLR HUMBO PXV,2025/10/08,2026-05-14,AWY_BASE,140
AIRWAY:J133,J133,J,Y,,TED GAL,2024/09/04,2026-05-14,AWY_BASE,141
AIRWAY:J134,J134,J,Y,,LAX SLI TRM PKE LANCY DRK KEYKE GUP CIM ICT ROKNE DOSOA BUM SCAWT ELSTO KOOOP STL JIGSY CAROL JUDDI MOSEY GBEES FLM,2022/07/15,2026-05-14,AWY_BASE,142
AIRWAY:J135,J135,J,Y,,BET UNK,2017/05/22,2026-05-14,AWY_BASE,143
AIRWAY:J136,J136,J,Y,,ONP BTG YKM GEG HILIE MLP HLN BIL MBW,2017/05/22,2026-05-14,AWY_BASE,144
AIRWAY:J137,J137,J,Y,,SPI FAM BSIDE ARG LIT,2025/09/30,2026-05-14,AWY_BASE,145
AIRWAY:J138,J138,J,Y,,FST SHUCK CSI SAT LCH LSU SJI,2021/04/05,2026-05-14,AWY_BASE,146
AIRWAY:J139,J139,J,Y,,BTT SCC,2011/01/12,2026-05-14,AWY_BASE,147
AIRWAY:J14,J14,J,Y,,PNH CRUSR IRW DWINE KLUBB KOMMA LIT XESSS JMUCK YAALL VUZ,2025/10/07,2026-05-14,AWY_BASE,148
AIRWAY:J140,J140,J,Y,,FAR DLH SSM,2017/05/22,2026-05-14,AWY_BASE,149
AIRWAY:J141,J141,J,Y,,ELP KEYLO WIPPO,2021/04/05,2026-05-14,AWY_BASE,150
AIRWAY:J143,J143,J,Y,,PYE ENI RBG EUG LTJ GEG,2017/05/22,2026-05-14,AWY_BASE,151
AIRWAY:J144,J144,J,Y,,DSM DBQ,2023/04/19,2026-05-14,AWY_BASE,152
AIRWAY:J146,J146,J,Y,,LAX DAG MISEN CLARR LAS BEALE NOOTN BETHL FREDD DICEE DVC HBU GLD LNK CNOTA IOW VORIN JOT GIJ ETG MIP FJC JFK,2026/01/27,2026-05-14,AWY_BASE,153
AIRWAY:J148,J148,J,Y,,OAL KROST DTA MTU CYS HANKI ONL GOOLD MCW,2017/05/22,2026-05-14,AWY_BASE,154
AIRWAY:J149,J149,J,Y,,AML GINYA RAMAY EYTEE SINDE GEFFS HACKS SUMET VLADY EMPTY MECAN ROD FWA,2023/04/25,2026-05-14,AWY_BASE,155
AIRWAY:J15,J15,J,Y,,IAH MARCS JCT FUSCO LOWGO INK CME HONDS CNX ABQ CURLY TANER PUMPS RSK BDROC SINSY JNC TCH TWF BOI IMB TIMEE BTG,2026/01/28,2026-05-14,AWY_BASE,156
AIRWAY:J151,J151,J,Y,,VUZ GETME BEATS DITZL VISQA CRELL FAM SLVER STL IRK OVR ONL RAP BIL JAPER HIA,2022/07/26,2026-05-14,AWY_BASE,157
AIRWAY:J152,J152,J,Y,,ROD TRAKK BLISS AVERE JST MIROY JUNEY HAR,2025/12/15,2026-05-14,AWY_BASE,158
AIRWAY:J153,J153,J,Y,,REO BKE BEAMO CHASS BLUNT GEG,2025/02/27,2026-05-14,AWY_BASE,159
AIRWAY:J154,J154,J,Y,,BAM SPRUZ BVL TCH OCS ALPOE AUTIM RAMMS AVVVS DVV DANDD SELLS RYLIE GCK,2017/05/22,2026-05-14,AWY_BASE,160
AIRWAY:J156,J156,J,Y,,ILC EKR,2017/05/22,2026-05-14,AWY_BASE,161
AIRWAY:J157,J157,J,Y,,MTU LAR BFF RAP,2017/05/22,2026-05-14,AWY_BASE,162
AIRWAY:J158,J158,J,Y,,MVA TOYBE RUBII SPRUZ LCU MLD BPI DDY RAP ABR,2017/05/22,2026-05-14,AWY_BASE,163
AIRWAY:J159,J159,J,Y,,BTG DSD,2017/05/22,2026-05-14,AWY_BASE,164
AIRWAY:J16,J16,J,Y,,BTG LAVAA KOTAA PDT CHASS DOXIE HIA BIL RECAP DPR FSD HAYNS ONTIJ MCW SABBO SIBER DUTYS BAE,2021/12/16,2026-05-14,AWY_BASE,165
AIRWAY:J160,J160,J,Y,,FAI AYKID FYU ADREW,2011/01/12,2026-05-14,AWY_BASE,166
AIRWAY:J161,J161,J,Y,,ZUN RSK,2017/05/22,2026-05-14,AWY_BASE,167
AIRWAY:J162,J162,J,Y,,DJB GAABE MAINE SPOOL AIR MGW BAABY LIZIO MRB,2026/03/26,2026-05-14,AWY_BASE,168
AIRWAY:J163,J163,J,Y,,BKE HOVEL BOI PIH OCS CHE,2018/08/24,2026-05-14,AWY_BASE,169
AIRWAY:J166,J166,J,Y,,SSO TCS CME DUMPS SPS,2017/05/22,2026-05-14,AWY_BASE,170
AIRWAY:J167,J167,J,Y,,JOH GKN DONEL BIG FYU POTAT,2017/05/22,2026-05-14,AWY_BASE,171
AIRWAY:J168,J168,J,Y,,SPS LAA,2017/05/22,2026-05-14,AWY_BASE,172
AIRWAY:J169,J169,J,Y,,LAX SLI TRM SHADI BLH SALOM KOFFA TFD,2017/05/22,2026-05-14,AWY_BASE,173
AIRWAY:J17,J17,J,Y,,SAT ROOMY ABI DUMPS TURKI PNH KENTO TBE PUB FQF CYS RAP,2017/05/22,2026-05-14,AWY_BASE,174
AIRWAY:J170,J170,J,Y,,CZI DDY MBW,2022/01/04,2026-05-14,AWY_BASE,175
AIRWAY:J171,J171,J,Y,,TBE TODDE HGO,2017/05/22,2026-05-14,AWY_BASE,176
AIRWAY:J173,J173,J,Y,,TCH ODUCE EKR,2017/05/22,2026-05-14,AWY_BASE,177
AIRWAY:J175,J175,J,Y,,CYS LAR DBS,2017/05/22,2026-05-14,AWY_BASE,178
AIRWAY:J177,J177,J,Y,,PSX KANNA,2020/02/07,2026-05-14,AWY_BASE,179
AIRWAY:J178,J178,J,Y,,FWA TORRR APE,2018/04/12,2026-05-14,AWY_BASE,180
AIRWAY:J18,J18,J,Y,,MZB GWIRE IPL HEEDS BZA HOGGZ MOHAK JUDTH GBN PXR FORPE CHEKR BOLIC VERNO SJN ABQ FTI KENTO DRAWL GCK SLN STJ BACNN CHASY ALBRT MZV,2025/04/23,2026-05-14,AWY_BASE,181
