airwayPathKey,airwayKey,awyId,awyLocation,awyDesignation,airwayString,sourceCycle,sourceTable,sourceRowId
AIRWAY_PATH:AR15:C,AIRWAY:AR15,AR15,C,AT,BAHAA HIBAC PETEE APOLO MALET ORL,2026-05-14,AWY_BASE,30
AIRWAY_PATH:AR16:C,AIRWAY:AR16,AR16,C,AT,PERMT LENDS GRUBR SNABS SEELO,2026-05-14,AWY_BASE,31
AIRWAY_PATH:AR17:C,AIRWAY:AR17,AR17,C,AT,WAALT OSTNN ACMED OGGRE NRRSE BAHAA HIBAC VKZ,2026-05-14,AWY_BASE,32
AIRWAY_PATH:AR18:C,AIRWAY:AR18,AR18,C,AT,WOLFO RAMJT ETECK PELCN OZENA ROWSY FLRDA,2026-05-14,AWY_BASE,33
AIRWAY_PATH:AR19:C,AIRWAY:AR19,AR19,C,AT,MAJIK FLAMU RAZZL AAARG JRDAN SAGGY CHIEZ,2026-05-14,AWY_BASE,34
AIRWAY_PATH:AR22:C,AIRWAY:AR22,AR22,C,AT,HOAGG MEIGS DUUNK SPOOF IDOLS SKARP,2026-05-14,AWY_BASE,35
AIRWAY_PATH:AR23:C,AIRWAY:AR23,AR23,C,AT,URSUS ZFP CANIT OZENA,2026-05-14,AWY_BASE,36
AIRWAY_PATH:AR24:C,AIRWAY:AR24,AR24,C,AT,URSUS ZFP BRATZ OHLAA COACH TYCAL JAZZI,2026-05-14,AWY_BASE,37
AIRWAY_PATH:AR3:C,AIRWAY:AR3,AR3,C,AT,ZQA KURAY MELON HANKX BARTS ANGLL NUCAR CASPR SCOBY CARPX ADUCI JAZZI DIZNY FRRAM JRDAN KEEKS OSTNN GARIC,2026-05-14,AWY_BASE,38
AIRWAY_PATH:AR5:C,AIRWAY:AR5,AR5,C,AT,KOOKK FEMON JAWSS BAHAA SNABS OZENA OHLAA CARPX TROUT,2026-05-14,AWY_BASE,39
AIRWAY_PATH:AR6:C,AIRWAY:AR6,AR6,C,AT,ORL BITHO MALET APOLO PETEE HIBAC HALSS HOBEE,2026-05-14,AWY_BASE,40
AIRWAY_PATH:AR8:C,AIRWAY:AR8,AR8,C,AT,ECG OHPEA TOMMZ OXANA,2026-05-14,AWY_BASE,41
AIRWAY_PATH:AR9:C,AIRWAY:AR9,AR9,C,AT,ORF BAATT NAGGI FUMES MEYRA ATLIC OUTES ETMEY DELPP CUMBY CROAK ZIBUT,2026-05-14,AWY_BASE,42
AIRWAY_PATH:B200:C,AIRWAY:B200,B200,C,PA,BISOX ANJJE CARLS BENTS AMATT TONYS FICKY,2026-05-14,AWY_BASE,43
AIRWAY_PATH:B233:A,AIRWAY:B233,B233,A,PA,GAL SANGL KUTAL,2026-05-14,AWY_BASE,44
AIRWAY_PATH:B24:C,AIRWAY:B24,B24,C,AT,SIE FISSH DASHA CORNE JETER WICKE HAPVY DIAAN BOJAN AGUNE LYNUS AZEZU WEBBB,2026-05-14,AWY_BASE,45
AIRWAY_PATH:B240:A,AIRWAY:B240,B240,A,PA,ERNIK IDROD AVUBA ENM,2026-05-14,AWY_BASE,46
AIRWAY_PATH:B241:A,AIRWAY:B241,B241,A,PA,ENM ENEGU ROCET RUSOR,2026-05-14,AWY_BASE,47
AIRWAY_PATH:B244:A,AIRWAY:B244,B244,A,PA,FRENK OTZ,2026-05-14,AWY_BASE,48
AIRWAY_PATH:B326:C,AIRWAY:B326,B326,C,PA,CHOKO NIXEE NUTTO NAMIE NIXAM,2026-05-14,AWY_BASE,49
AIRWAY_PATH:B452:C,AIRWAY:B452,B452,C,PA,ATIGO KERRY KRONK KRASY DOHRT,2026-05-14,AWY_BASE,50
AIRWAY_PATH:B453:C,AIRWAY:B453,B453,C,PA,BOXER KYLLE KANUA VIDKU TAMRU SIMLU KURTT PETPA NAKBI METPA KATCH MDO,2026-05-14,AWY_BASE,51
AIRWAY_PATH:B454:C,AIRWAY:B454,B454,C,PA,UPNAR COMIR BORIC ARENS TONYS,2026-05-14,AWY_BASE,52
AIRWAY_PATH:B474:C,AIRWAY:B474,B474,C,PA,BARKR ADOWA ARVII ADISN ARTOP,2026-05-14,AWY_BASE,53
AIRWAY_PATH:B503:C,AIRWAY:B503,B503,C,AT,ENAMO RYDEL HODGY ZQA,2026-05-14,AWY_BASE,54
AIRWAY_PATH:B520:C,AIRWAY:B520,B520,C,AT,ANTEX BQN DDP MALIE STT PASIC LARPP JUICE PJM ELOPO ANU,2026-05-14,AWY_BASE,55
AIRWAY_PATH:B577:C,AIRWAY:B577,B577,C,PA,PASSA QUIGG SANTA CANOL BELAN AHNDO LENNA FICKY,2026-05-14,AWY_BASE,56
AIRWAY_PATH:B580:C,AIRWAY:B580,B580,C,PA,BARKR BOYES BESTY BAYUS BOILS,2026-05-14,AWY_BASE,57
AIRWAY_PATH:B581:C,AIRWAY:B581,B581,C,PA,WOOBY WACOS WOSLU WAYSE WINTY CAMOS BALKS AFONE WEDES FICKY,2026-05-14,AWY_BASE,58
AIRWAY_PATH:B586:C,AIRWAY:B586,B586,C,PA,OMLET TOESS WINZR UNZ ASADE KAPOK HUTEL NUTTI PIKOK,2026-05-14,AWY_BASE,59
AIRWAY_PATH:B589:C,AIRWAY:B589,B589,C,PA,MAJ ELNUR,2026-05-14,AWY_BASE,60
AIRWAY_PATH:B595:C,AIRWAY:B595,B595,C,PA,KOA TARDE TAKIE TARPP TENOR,2026-05-14,AWY_BASE,61
AIRWAY_PATH:B596:C,AIRWAY:B596,B596,C,PA,DOVRR RUDEE RAGDE RAYOR RAMIZ,2026-05-14,AWY_BASE,62
AIRWAY_PATH:B757:A,AIRWAY:B757,B757,A,PA,KATCH HMPTN GRIZZ CJAYY EHM ONEOX HOWRR NULUK,2026-05-14,AWY_BASE,63
AIRWAY_PATH:B760:C,AIRWAY:B760,B760,C,AT,ZBV LEEVI MENDL BORDO,2026-05-14,AWY_BASE,64
AIRWAY_PATH:B892:C,AIRWAY:B892,B892,C,AT,ANTEX MAZ,2026-05-14,AWY_BASE,65
AIRWAY_PATH:B932:A,AIRWAY:B932,B932,A,PA,BAMOK MORLY EPLOS KIVAK LESAD MCG,2026-05-14,AWY_BASE,66
AIRWAY_PATH:BR10L:C,AIRWAY:BR10L,BR10L,C,BF,ZFP FLINY HAANA MRRSH BNTTZ,2026-05-14,AWY_BASE,67
AIRWAY_PATH:BR1L:C,AIRWAY:BR1L,BR1L,C,BF,JOLTS ZFP BARTS MAMML DIAZZ LOGVN BRRGO AVNEY BENIE OREDE RAHAM STRUD BIKIN GTK,2026-05-14,AWY_BASE,68
AIRWAY_PATH:BR21V:C,AIRWAY:BR21V,BR21V,C,BF,ZFP ULAMA KIXAL WALIK PBI,2026-05-14,AWY_BASE,69
AIRWAY_PATH:BR22V:C,AIRWAY:BR22V,BR22V,C,BF,FLL DEKAL WIERS OYSTA CAREY MAJUR ZQA,2026-05-14,AWY_BASE,70
AIRWAY_PATH:BR2L:C,AIRWAY:BR2L,BR2L,C,BF,ZSJ DUKKY WRECK SOLEI TROTR PVN TOMAZ BURTZ GOVET JUELE,2026-05-14,AWY_BASE,71
AIRWAY_PATH:BR49V:C,AIRWAY:BR49V,BR49V,C,BF,DHP LUVLY JUNUR FOWEE LUCSS JERRE TINKY NICKO ZQA,2026-05-14,AWY_BASE,72
AIRWAY_PATH:BR53V:C,AIRWAY:BR53V,BR53V,C,BF,VKZ SKIPS LEEVI SWIMM WOOZE RAJAY PRUNE HINZY ZQA GUAVA BNTTZ,2026-05-14,AWY_BASE,73
AIRWAY_PATH:BR54V:C,AIRWAY:BR54V,BR54V,C,BF,PBI MRLIN PREDA ISAAC OYSTA CAREY MAJUR ZQA,2026-05-14,AWY_BASE,74
AIRWAY_PATH:BR55V:C,AIRWAY:BR55V,BR55V,C,BF,PBI MRLIN PREDA BEECH ZBV RAJAY PRUNE HINZY ZQA BURRL SEAAN MUVOD BRRGO,2026-05-14,AWY_BASE,75
AIRWAY_PATH:BR57V:C,AIRWAY:BR57V,BR57V,C,BF,FLL DEKAL WIERS ZBV CAREY MAJUR ZQA,2026-05-14,AWY_BASE,76
AIRWAY_PATH:BR58V:C,AIRWAY:BR58V,BR58V,C,BF,ZQA KURAY MELON HANKX BARTS ANGLL,2026-05-14,AWY_BASE,77
AIRWAY_PATH:BR63V:C,AIRWAY:BR63V,BR63V,C,BF,PBI TURPS MIXAE HALBI ULAMA ZFP CEGUR BURBO BAYRU HANKX MELON KURAY ZQA,2026-05-14,AWY_BASE,78
AIRWAY_PATH:BR64V:C,AIRWAY:BR64V,BR64V,C,BF,VKZ KAINS QEPRO KUCEP LONNI HEATT MRLIN MUNRO ZFP,2026-05-14,AWY_BASE,79
AIRWAY_PATH:BR65V:C,AIRWAY:BR65V,BR65V,C,BF,ZQA PEACH SYDNY LAUTH ZFP RAPPS STIFF ELDER ADOOR,2026-05-14,AWY_BASE,80
AIRWAY_PATH:BR66V:C,AIRWAY:BR66V,BR66V,C,BF,VKZ JANUS PADUS ZFP,2026-05-14,AWY_BASE,81
AIRWAY_PATH:BR68V:C,AIRWAY:BR68V,BR68V,C,BF,FLL MRLIN MUNRO ZFP,2026-05-14,AWY_BASE,82
AIRWAY_PATH:BR69V:C,AIRWAY:BR69V,BR69V,C,BF,ZBV BAHMA MAYKO ZFP JAMAX BENZI JOLTS KIXAL WALIK PBI,2026-05-14,AWY_BASE,83
AIRWAY_PATH:BR70V:C,AIRWAY:BR70V,BR70V,C,BF,FLL TURBO PADUS ZFP GRREG MRRSH ZQA,2026-05-14,AWY_BASE,84
AIRWAY_PATH:BR71V:C,AIRWAY:BR71V,BR71V,C,BF,ZFP WOPOP WLKER,2026-05-14,AWY_BASE,85
AIRWAY_PATH:BR9L:C,AIRWAY:BR9L,BR9L,C,BF,GTK TOMAZ CARAH SKHOT KNSLY,2026-05-14,AWY_BASE,86
AIRWAY_PATH:G1:A,AIRWAY:G1,G1,A,G,ADK HORTH MORDI TESPE CHUNA UNETE ELF,2026-05-14,AWY_BASE,87
AIRWAY_PATH:G10:A,AIRWAY:G10,G10,A,G,EHM SPY IVOXE BILBE GENFU ELF SAFKO CFMWC IYUWI PDN ESHOS ZEVON WIDTH RWO,2026-05-14,AWY_BASE,88
AIRWAY_PATH:G12:A,AIRWAY:G12,G12,A,G,ELF KOTIZ UCLON MILAM DUGAC HBT RAYMD PEWUK PDN,2026-05-14,AWY_BASE,89
AIRWAY_PATH:G2:A,AIRWAY:G2,G2,A,G,HBT CUBPA GESSE CILAC FEVBO FIGAN JOGMO RWO,2026-05-14,AWY_BASE,90
AIRWAY_PATH:G205:C,AIRWAY:G205,G205,C,PA,RUTUS KISME GOOFI JUNIE OPLAR GUMGE UNZ GUYES TERYY TEGOD,2026-05-14,AWY_BASE,91
AIRWAY_PATH:G215:A,AIRWAY:G215,G215,A,PA,NRKEY OLCOT PLADO SYA CURVS DUT,2026-05-14,AWY_BASE,92
AIRWAY_PATH:G223:C,AIRWAY:G223,G223,C,PA,MUBIT OLGIS PHILY RISBA,2026-05-14,AWY_BASE,93
AIRWAY_PATH:G339:C,AIRWAY:G339,G339,C,PA,UNZ SHAWS RIDLL NATSS PAKDO,2026-05-14,AWY_BASE,94
AIRWAY_PATH:G347:C,AIRWAY:G347,G347,C,PA,DATBE DASNE DULCE DUNEY,2026-05-14,AWY_BASE,95
AIRWAY_PATH:G349:A,AIRWAY:G349,G349,A,PA,MARCC KIVAK PALIN NEONN,2026-05-14,AWY_BASE,96
AIRWAY_PATH:G437:C,AIRWAY:G437,G437,C,AT,DYNAH JAYEE JEFRY BRONO WELKS ZQA INGRA ELBOW AVOXI BAAGR OMALY MAPYL,2026-05-14,AWY_BASE,97
AIRWAY_PATH:G439:C,AIRWAY:G439,G439,C,AT,DHP MNATE TWNNS DROWN,2026-05-14,AWY_BASE,98
AIRWAY_PATH:G444:C,AIRWAY:G444,G444,C,AT,BOTES SAAKO GTK,2026-05-14,AWY_BASE,99
AIRWAY_PATH:G457:C,AIRWAY:G457,G457,C,PA,DATBE EGKEL EBEBE ELLMS,2026-05-14,AWY_BASE,100
AIRWAY_PATH:G467:C,AIRWAY:G467,G467,C,PA,ENDAX YELLO KITSS ACRON PULEE UNZ,2026-05-14,AWY_BASE,101
AIRWAY_PATH:G469:A,AIRWAY:G469,G469,A,PA,NYMPH ONEIL RULOY PINTT CREMR SPY PDN,2026-05-14,AWY_BASE,102
AIRWAY_PATH:G504:C,AIRWAY:G504,G504,C,AT,LETON IORIO COUKY FOLLE PRRDO ANGSS STRUD RATTL PVN SHOEZ CARAH ALBBE,2026-05-14,AWY_BASE,103
AIRWAY_PATH:G575:C,AIRWAY:G575,G575,C,PA,WIBIG CINTO BIGBY APIDD HILCO FICKY,2026-05-14,AWY_BASE,104
AIRWAY_PATH:G583:A,AIRWAY:G583,G583,A,PA,BESAT MARCC MUNRI ENM,2026-05-14,AWY_BASE,105
AIRWAY_PATH:G629:C,AIRWAY:G629,G629,C,AT,KNSLY RAPPR CATHI PVN EGANN RAHAM LYMIN,2026-05-14,AWY_BASE,106
AIRWAY_PATH:G633:C,AIRWAY:G633,G633,C,AT,GABAR DANDE TANZY COY SNOOZ VEDAS TUUNA DDP MAZ ZADAV MELLA,2026-05-14,AWY_BASE,107
AIRWAY_PATH:G648:C,AIRWAY:G648,G648,C,AT,GTK PVN MICAS,2026-05-14,AWY_BASE,108
AIRWAY_PATH:G8:A,AIRWAY:G8,G8,A,G,ADK RUNUW LONOK SIYNY DUT ZEBUV MORDI TESPE CHUNA UNETE ELF,2026-05-14,AWY_BASE,109
AIRWAY_PATH:H201:A,AIRWAY:H201,H201,A,PA,OME SLEDD AVUBA ENEGU MUNRI KIVAK NAYLD,2026-05-14,AWY_BASE,110
AIRWAY_PATH:H222:A,AIRWAY:H222,H222,A,PA,VALDA ICEEE SLEDD MCG,2026-05-14,AWY_BASE,111
AIRWAY_PATH:J1:C,AIRWAY:J1,J1,C,J,TIJ TEYON MZB OCN LAX FIM REYES DERBB AVE OAK RBL HANDY OED DREWS BTG ALDER SEA,2026-05-14,AWY_BASE,112
AIRWAY_PATH:J10:C,AIRWAY:J10,J10,C,J,LAX JUGLI CIVET RUSTT PIONE TNP CADEZ HIPPI FLG RSK HBU FQF LBF DSM IOW,2026-05-14,AWY_BASE,113
AIRWAY_PATH:J100:C,AIRWAY:J100,J100,C,J,LAX DAG MISEN CLARR LAS SUVIE NORRA BCE SAKES EKR FROGS SNY DBQ COTON OBK,2026-05-14,AWY_BASE,114
AIRWAY_PATH:J101:C,AIRWAY:J101,J101,C,J,IAH LFK SKKIP ADUKE BERKE CISAR LIT PLIED TWRAY STL FARGO SPI OBK BAE GRB SSM,2026-05-14,AWY_BASE,115
AIRWAY_PATH:J102:C,AIRWAY:J102,J102,C,J,PXR FORPE CHEKR BOLIC ZUN GUP PUMPS RGINA ALS LAA RYLIE SLN,2026-05-14,AWY_BASE,116
AIRWAY_PATH:J104:C,AIRWAY:J104,J104,C,J,LAX JUGLI CIVET RUSTT PIONE TNP PKE WLVRN CULTS KOFFA GBN ALMON TUS SSAND SSO WOBUG GREBE TMACK ONM FTI PUB,2026-05-14,AWY_BASE,117
AIRWAY_PATH:J106:C,AIRWAY:J106,J106,C,J,JHW HOXIE DMACK STENT MAGIO LVZ JENNO HARTY STW LGA,2026-05-14,AWY_BASE,118
AIRWAY_PATH:J107:C,AIRWAY:J107,J107,C,J,LAX JUGLI CIVET RESOR HEC BLD OVETO NORRA BERYL MLF URNUW OCS DDY DPR,2026-05-14,AWY_BASE,119
AIRWAY_PATH:J108:C,AIRWAY:J108,J108,C,J,INW SJN TCS GINGR INK,2026-05-14,AWY_BASE,120
AIRWAY_PATH:J11:C,AIRWAY:J11,J11,C,J,TUS TOTEC TUKEE PXR DRK KIDDR NAVHO CORKR SNAER FREDD BCE URNUW NEEBO FFU TCH,2026-05-14,AWY_BASE,121
AIRWAY_PATH:J110:C,AIRWAY:J110,J110,C,J,BLD LRAIN RSK ALS GCK KIRKE PEABO FRACA BUM SCAWT ELSTO KOOOP STL COWES TILMN VHP FYLLS CREEP EMPTY BOWRR ZANDR CORVS AIR LEJOY VINSE GRAHM BEETS LARRI KIPPI FLIRT PENSY CYN,2026-05-14,AWY_BASE,122
AIRWAY_PATH:J111:A,AIRWAY:J111,J111,A,J,OME WONAB UNK MCG WINOR FFITZ TED,2026-05-14,AWY_BASE,123
AIRWAY_PATH:J112:C,AIRWAY:J112,J112,C,J,BUM EUNIK ULMAN CROCK FAM PLESS PXV IIU,2026-05-14,AWY_BASE,124
AIRWAY_PATH:J114:C,AIRWAY:J114,J114,C,J,DVV LANDR SNY BENNZ YANKI NARLY ONL FSD GEP,2026-05-14,AWY_BASE,125
AIRWAY_PATH:J115:A,AIRWAY:J115,J115,A,J,ADK DUT CDB BINAL CUDDA TANIE AKN CIFJI TUCKS ENA TED BGQ CAWIN FAI,2026-05-14,AWY_BASE,126
AIRWAY_PATH:J116:C,AIRWAY:J116,J116,C,J,TCH FFU EKR FQF,2026-05-14,AWY_BASE,127
AIRWAY_PATH:J117:A,AIRWAY:J117,J117,A,J,MCG GAL OTZ,2026-05-14,AWY_BASE,128
AIRWAY_PATH:J12:C,AIRWAY:J12,J12,C,J,SEA NORMY BLUIT EPH DNJ TWF TCH FFU HELPR FIRRE RIFMN JNC,2026-05-14,AWY_BASE,129
AIRWAY_PATH:J120:A,AIRWAY:J120,J120,A,J,ADK SPY POETT BET MCG FAI FYU,2026-05-14,AWY_BASE,130
AIRWAY_PATH:J122:A,AIRWAY:J122,J122,A,J,FAI GAL OME,2026-05-14,AWY_BASE,131
AIRWAY_PATH:J123:A,AIRWAY:J123,J123,A,J,CJAYY ODK KOKOZ AKN KOWOK BET OME OTZ BRW,2026-05-14,AWY_BASE,132
AIRWAY_PATH:J124:A,AIRWAY:J124,J124,A,J,BGQ GKN ORT,2026-05-14,AWY_BASE,133
AIRWAY_PATH:J125:A,AIRWAY:J125,J125,A,J,ODK KODNE TED,2026-05-14,AWY_BASE,134
AIRWAY_PATH:J126:C,AIRWAY:J126,J126,C,J,LAX RZS CEANO ROBIE GOALI SNS SAC RBL HANDY OED EUG UBG OLM CFXKC CFQLS CFGFX,2026-05-14,AWY_BASE,135
AIRWAY_PATH:J127:A,AIRWAY:J127,J127,A,J,AKN RINGO NONDA,2026-05-14,AWY_BASE,136
AIRWAY_PATH:J128:C,AIRWAY:J128,J128,C,J,LAX JUGLI CIVET RUSTT EMMEY DIKES BUGGA ETINE PGS TBC LRAIN HBU FQF HCT DBQ COTON OBK,2026-05-14,AWY_BASE,137
AIRWAY_PATH:J129:A,AIRWAY:J129,J129,A,J,OME CIVED OTZ,2026-05-14,AWY_BASE,138
AIRWAY_PATH:J13:C,AIRWAY:J13,J13,C,J,BECON RUTER TCS ABQ FRIHO ESPAN ALS VIMPY FQF CYS DDY BIL GTF CFNGJ,2026-05-14,AWY_BASE,139
AIRWAY_PATH:J131:C,AIRWAY:J131,J131,C,J,SAT HENLY SPURS JUMBO EDNAS FUZ TXK LIT RUSLR HUMBO PXV,2026-05-14,AWY_BASE,140
AIRWAY_PATH:J133:A,AIRWAY:J133,J133,A,J,TED GAL,2026-05-14,AWY_BASE,141
AIRWAY_PATH:J134:C,AIRWAY:J134,J134,C,J,LAX SLI TRM PKE LANCY DRK KEYKE GUP CIM ICT ROKNE DOSOA BUM SCAWT ELSTO KOOOP STL JIGSY CAROL JUDDI MOSEY GBEES FLM,2026-05-14,AWY_BASE,142
AIRWAY_PATH:J135:A,AIRWAY:J135,J135,A,J,BET UNK,2026-05-14,AWY_BASE,143
AIRWAY_PATH:J136:C,AIRWAY:J136,J136,C,J,ONP BTG YKM GEG HILIE MLP HLN BIL MBW,2026-05-14,AWY_BASE,144
AIRWAY_PATH:J137:C,AIRWAY:J137,J137,C,J,SPI FAM BSIDE ARG LIT,2026-05-14,AWY_BASE,145
AIRWAY_PATH:J138:C,AIRWAY:J138,J138,C,J,FST SHUCK CSI SAT LCH LSU SJI,2026-05-14,AWY_BASE,146
AIRWAY_PATH:J139:A,AIRWAY:J139,J139,A,J,BTT SCC,2026-05-14,AWY_BASE,147
AIRWAY_PATH:J14:C,AIRWAY:J14,J14,C,J,PNH CRUSR IRW DWINE KLUBB KOMMA LIT XESSS JMUCK YAALL VUZ,2026-05-14,AWY_BASE,148
AIRWAY_PATH:J140:C,AIRWAY:J140,J140,C,J,FAR DLH SSM,2026-05-14,AWY_BASE,149
AIRWAY_PATH:J141:C,AIRWAY:J141,J141,C,J,ELP KEYLO WIPPO,2026-05-14,AWY_BASE,150
AIRWAY_PATH:J143:C,AIRWAY:J143,J143,C,J,PYE ENI RBG EUG LTJ GEG,2026-05-14,AWY_BASE,151
AIRWAY_PATH:J144:C,AIRWAY:J144,J144,C,J,DSM DBQ,2026-05-14,AWY_BASE,152
AIRWAY_PATH:J146:C,AIRWAY:J146,J146,C,J,LAX DAG MISEN CLARR LAS BEALE NOOTN BETHL FREDD DICEE DVC HBU GLD LNK CNOTA IOW VORIN JOT GIJ ETG MIP FJC JFK,2026-05-14,AWY_BASE,153
AIRWAY_PATH:J148:C,AIRWAY:J148,J148,C,J,OAL KROST DTA MTU CYS HANKI ONL GOOLD MCW,2026-05-14,AWY_BASE,154
AIRWAY_PATH:J149:C,AIRWAY:J149,J149,C,J,AML GINYA RAMAY EYTEE SINDE GEFFS HACKS SUMET VLADY EMPTY MECAN ROD FWA,2026-05-14,AWY_BASE,155
AIRWAY_PATH:J15:C,AIRWAY:J15,J15,C,J,IAH MARCS JCT FUSCO LOWGO INK CME HONDS CNX ABQ CURLY TANER PUMPS RSK BDROC SINSY JNC TCH TWF BOI IMB TIMEE BTG,2026-05-14,AWY_BASE,156
AIRWAY_PATH:J151:C,AIRWAY:J151,J151,C,J,VUZ GETME BEATS DITZL VISQA CRELL FAM SLVER STL IRK OVR ONL RAP BIL JAPER HIA,2026-05-14,AWY_BASE,157
AIRWAY_PATH:J152:C,AIRWAY:J152,J152,C,J,ROD TRAKK BLISS AVERE JST MIROY JUNEY HAR,2026-05-14,AWY_BASE,158
AIRWAY_PATH:J153:C,AIRWAY:J153,J153,C,J,REO BKE BEAMO CHASS BLUNT GEG,2026-05-14,AWY_BASE,159
AIRWAY_PATH:J154:C,AIRWAY:J154,J154,C,J,BAM SPRUZ BVL TCH OCS ALPOE AUTIM RAMMS AVVVS DVV DANDD SELLS RYLIE GCK,2026-05-14,AWY_BASE,160
AIRWAY_PATH:J156:C,AIRWAY:J156,J156,C,J,ILC EKR,2026-05-14,AWY_BASE,161
AIRWAY_PATH:J157:C,AIRWAY:J157,J157,C,J,MTU LAR BFF RAP,2026-05-14,AWY_BASE,162
AIRWAY_PATH:J158:C,AIRWAY:J158,J158,C,J,MVA TOYBE RUBII SPRUZ LCU MLD BPI DDY RAP ABR,2026-05-14,AWY_BASE,163
